Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25188_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Современные технологии хранения и обработки данных,Лекция,Кузьминых М.М.,2-206
25188_2_30032026_12042026.pdf,30.03.26,понедельник,18:55-20:25,Общая группа,Современные технологии хранения и обработки данных,Практическое занятие,Кузьминых М.М.,2-304
25188_2_30032026_12042026.pdf,01.04.26,среда,10:00-11:30,Общая группа,Программное обеспечение геймификации,Практическое занятие,Родионов К.В.,2-309
25188_2_30032026_12042026.pdf,01.04.26,среда,11:45-13:15,Общая группа,Программное обеспечение геймификации,Лабораторная работа,Родионов К.В.,2-309
25188_2_30032026_12042026.pdf,02.04.26,четверг,08:20-09:50,Общая группа,Методы и средства проектирования информационных систем и технологий,Практическое занятие,Фищева И.Н.,2-409
25188_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,Общая группа,Программное обеспечение геймификации,Лекция,Родионов К.В.,2-409
25188_2_30032026_12042026.pdf,03.04.26,пятница,08:20-09:50,Общая группа,Методы и средства проектирования информационных систем и технологий,Практическое занятие,Фищева И.Н.,2-403
25188_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,Общая группа,Методы и средства проектирования информационных систем и технологий,Лабораторная работа,Фищева И.Н.,2-304
25188_2_30032026_12042026.pdf,04.04.26,суббота,10:00-11:30,Общая группа,Современные технологии хранения и обработки данных,Лабораторная работа,Кузьминых М.М.,2-304
25188_2_30032026_12042026.pdf,04.04.26,суббота,11:45-13:15,Общая группа,Современные технологии хранения и обработки данных,Лабораторная работа,Кузьминых М.М.,2-304
