Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25411_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Защита интеллектуальной собственности,Лекция,Тупицына Е.Г.,1-126
25411_2_30032026_12042026.pdf,30.03.26,понедельник,18:55-20:25,Общая группа,Защита интеллектуальной собственности,Практическое занятие,Тупицына Е.Г.,1-126
25411_2_30032026_12042026.pdf,31.03.26,вторник,17:20-18:50,Общая группа,Деловая коммуникация на изучаемом языке,Практическое занятие,Казаков А.В.,15-246
25411_2_30032026_12042026.pdf,31.03.26,вторник,18:55-20:25,Общая группа,Теория и практика устного и письменного перевода,Практическое занятие,Казаков А.В.,15-246
25411_2_30032026_12042026.pdf,01.04.26,среда,17:20-18:50,Общая группа,Современные проблемы теории перевода и контрастивной лингвистики,Практическое занятие,Байкова О.В.,15-204
25411_2_30032026_12042026.pdf,01.04.26,среда,18:55-20:25,Общая группа,Современные проблемы теории перевода и контрастивной лингвистики,Практическое занятие,Байкова О.В.,15-204
25411_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,Общая группа,Деловая коммуникация на изучаемом языке,Практическое занятие,Казаков А.В.,15-246
25411_2_30032026_12042026.pdf,02.04.26,четверг,18:55-20:25,Общая группа,Теория и практика устного и письменного перевода,Практическое занятие,Казаков А.В.,15-246
25411_2_30032026_12042026.pdf,06.04.26,понедельник,17:20-18:50,Общая группа,Сравнительная типология языков оригинала и перевода,Практическое занятие,Оношко В.Н.,15-243
25411_2_30032026_12042026.pdf,06.04.26,понедельник,18:55-20:25,Общая группа,Сравнительная типология языков оригинала и перевода,Практическое занятие,Оношко В.Н.,15-243
25411_2_30032026_12042026.pdf,07.04.26,вторник,17:20-18:50,Общая группа,Деловая коммуникация на изучаемом языке,Практическое занятие,Казаков А.В.,15-246
25411_2_30032026_12042026.pdf,07.04.26,вторник,18:55-20:25,Общая группа,Теория и практика устного и письменного перевода,Практическое занятие,Казаков А.В.,15-246
25411_2_30032026_12042026.pdf,09.04.26,четверг,17:20-18:50,Общая группа,Деловая коммуникация на изучаемом языке,Практическое занятие,Казаков А.В.,15-246
25411_2_30032026_12042026.pdf,09.04.26,четверг,18:55-20:25,Общая группа,Теория и практика устного и письменного перевода,Практическое занятие,Казаков А.В.,15-246
