Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24787_2_30032026_12042026.pdf,30.03.26,понедельник,08:20-09:50,Общая группа,Оборудование машиностроительных производств,Лекция,Поляков С.М.,10-203
24787_2_30032026_12042026.pdf,30.03.26,понедельник,10:00-11:30,Общая группа,Резание материалов и режущий инструмент,Практическое занятие,Виноградов Д.О.,10-200
24787_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,Общая группа,Оборудование машиностроительных производств,Практическое занятие,Поляков С.М.,9-001
24787_2_30032026_12042026.pdf,30.03.26,понедельник,14:00-15:30,Общая группа,Методы проблемно-поискового подхода в технологическом проектировании,Лекция,Маринин Е.А.,10-218
24787_2_30032026_12042026.pdf,31.03.26,вторник,14:00-15:30,Общая группа,Контроль качества в машиностроении,Лекция,Шакирова А.С.,10-214
24787_2_30032026_12042026.pdf,31.03.26,вторник,15:45-17:15,Общая группа,Методы проблемно-поискового подхода в технологическом проектировании,Практическое занятие,Маринин Е.А.,10-203
24787_2_30032026_12042026.pdf,31.03.26,вторник,17:20-18:50,Общая группа,Методы проблемно-поискового подхода в технологическом проектировании,Практическое занятие,Маринин Е.А.,10-203
24787_2_30032026_12042026.pdf,31.03.26,вторник,18:55-20:25,Общая группа,Основы технологии машиностроения,Практическое занятие,Вылегжанин А.Ю.,10-203
24787_2_30032026_12042026.pdf,01.04.26,среда,10:00-11:30,02 подгруппа,Оборудование машиностроительных производств,Лабораторная работа,Поляков С.М.,9-002
24787_2_30032026_12042026.pdf,01.04.26,среда,11:45-13:15,02 подгруппа,Оборудование машиностроительных производств,Лабораторная работа,Поляков С.М.,9-002
24787_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,Общая группа,Системный инжиниринг,Практическое занятие,Сергеев Д.Г.,10-205
24787_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,Общая группа,Системный инжиниринг,Практическое занятие,Сергеев Д.Г.,10-205
24787_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,01 подгруппа,Контроль качества в машиностроении,Лабораторная работа,Шакирова А.С.,10-205
24787_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,02 подгруппа,Системы автоматизированного проектирования,Лабораторная работа,Флаксман А.Л.,10-206
24787_2_30032026_12042026.pdf,02.04.26,четверг,11:45-13:15,01 подгруппа,Контроль качества в машиностроении,Лабораторная работа,Шакирова А.С.,10-205
24787_2_30032026_12042026.pdf,02.04.26,четверг,11:45-13:15,02 подгруппа,Системы автоматизированного проектирования,Лабораторная работа,Флаксман А.Л.,10-206
24787_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Ромашов А.Ю.,9-115
24787_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Практическое занятие,Соймонов И.А.,9-102
24787_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 128),Практическое занятие,Подковырин В.Д.,19-301
24787_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Трушкова Е.Л.,9-301
24787_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Ромашов А.Ю.,9-115
24787_2_30032026_12042026.pdf,03.04.26,пятница,15:45-17:15,Общая группа,Экология,Практическое занятие,Зимонина Н.М.,15-268
24787_2_30032026_12042026.pdf,04.04.26,суббота,10:00-11:30,Общая группа,Основы технологии машиностроения,Лекция,Кувалдин Ю.И.,10-214
