Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25957_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Тютюнник И.А.,Не указан
25957_2_30032026_12042026.pdf,30.03.26,понедельник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Тютюнник И.А.,Не указан
25957_2_30032026_12042026.pdf,31.03.26,вторник,17:20-18:50,Общая группа,Развитие исследовательского потенциала обучающихся,Лекция,Коршунова О.В.,Не указан
25957_2_30032026_12042026.pdf,31.03.26,вторник,18:55-20:25,Общая группа,Развитие исследовательского потенциала обучающихся,Практическое занятие,Коршунова О.В.,Не указан
25957_2_30032026_12042026.pdf,01.04.26,среда,17:20-18:50,Общая группа,Интерактивные образовательные технологии,Лекция,Лучинина А.О.,Не указан
25957_2_30032026_12042026.pdf,01.04.26,среда,18:55-20:25,Общая группа,Интерактивные образовательные технологии,Практическое занятие,Лучинина А.О.,Не указан
25957_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,Общая группа,Диагностика и коррекция когнитивной сферы обучающихся,Лекция,Ивутина Е.П.,Не указан
25957_2_30032026_12042026.pdf,02.04.26,четверг,18:55-20:25,Общая группа,Диагностика и коррекция когнитивной сферы обучающихся,Практическое занятие,Ивутина Е.П.,Не указан
25957_2_30032026_12042026.pdf,03.04.26,пятница,17:20-18:50,Общая группа,Развитие исследовательского потенциала обучающихся,Практическое занятие,Коршунова О.В.,Не указан
25957_2_30032026_12042026.pdf,03.04.26,пятница,18:55-20:25,Общая группа,Развитие исследовательского потенциала обучающихся,Практическое занятие,Коршунова О.В.,Не указан
25957_2_30032026_12042026.pdf,07.04.26,вторник,17:20-18:50,Общая группа,Развитие исследовательского потенциала обучающихся,Лекция,Коршунова О.В.,Не указан
25957_2_30032026_12042026.pdf,07.04.26,вторник,18:55-20:25,Общая группа,Развитие исследовательского потенциала обучающихся,Практическое занятие,Коршунова О.В.,Не указан
25957_2_30032026_12042026.pdf,09.04.26,четверг,17:20-18:50,Общая группа,Диагностика и коррекция когнитивной сферы обучающихся,Лекция,Ивутина Е.П.,Не указан
25957_2_30032026_12042026.pdf,09.04.26,четверг,18:55-20:25,Общая группа,Диагностика и коррекция когнитивной сферы обучающихся,Практическое занятие,Ивутина Е.П.,Не указан
25957_2_30032026_12042026.pdf,10.04.26,пятница,17:20-18:50,Общая группа,Интерактивные образовательные технологии,Лекция,Лучинина А.О.,Не указан
25957_2_30032026_12042026.pdf,10.04.26,пятница,18:55-20:25,Общая группа,Интерактивные образовательные технологии,Практическое занятие,Лучинина А.О.,Не указан
