Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24552_2_30032026_12042026.pdf,30.03.26,понедельник,14:00-15:30,Общая группа,Налоговое право,Практическое занятие,Коротаева О.А.,13-408
24552_2_30032026_12042026.pdf,30.03.26,понедельник,15:45-17:15,Общая группа,Запреты и ограничения внешнеторговой деятельности,Лекция,Обухова А.Н.,13-105
24552_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Предпринимательское право,Лекция,Федосимова Н.В.,13-105
24552_2_30032026_12042026.pdf,31.03.26,вторник,10:00-11:30,Общая группа,Гражданский процесс,Лекция,Котельникова Е.А.,13-105
24552_2_30032026_12042026.pdf,31.03.26,вторник,11:45-13:15,Общая группа,Уголовный процесс,Лекция,Коновалова А.Б.,13-110
24552_2_30032026_12042026.pdf,31.03.26,вторник,14:00-15:30,Общая группа,Запреты и ограничения внешнеторговой деятельности,Практическое занятие,Обухова А.Н.,13-103а
24552_2_30032026_12042026.pdf,31.03.26,вторник,15:45-17:15,Общая группа,Запреты и ограничения внешнеторговой деятельности,Практическое занятие,Обухова А.Н.,13-103а
24552_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,Общая группа,Уголовный процесс,Практическое занятие,Нобель А.Р.,13-402
24552_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,Общая группа,Уголовный процесс,Практическое занятие,Нобель А.Р.,13-402
24552_2_30032026_12042026.pdf,01.04.26,среда,17:20-18:50,Общая группа,Контроль таможенной стоимости,Лекция,Бабайлов В.А.,13-111
24552_2_30032026_12042026.pdf,01.04.26,среда,18:55-20:25,Общая группа,Технологии таможенного контроля (практикум),Лекция,Бабайлов В.А.,13-111
24552_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,Общая группа,Контроль таможенной стоимости,Практическое занятие,Бабайлов В.А.,13-408
24552_2_30032026_12042026.pdf,02.04.26,четверг,18:55-20:25,Общая группа,Контроль таможенной стоимости,Практическое занятие,Бабайлов В.А.,13-408
24552_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Тарасова А.А.,14-115
