Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24897_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,01 подгруппа,Баскетбол,Практическое занятие,Пластинина В.Б.,9-102
24897_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,01 подгруппа,Волейбол,Практическое занятие,Салопин О.М.,9-208
24897_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,01 подгруппа,Мини-футбол,Практическое занятие,Трушкова Е.Л.,9-102
24897_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,02 подгруппа,Адаптивная физическая культура,Практическое занятие,Хлусьянов О.В.,9-116
24897_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,Общая группа,физическая культура,Практическое занятие,Хлусьянов О.В.,9-116
24897_2_30032026_12042026.pdf,31.03.26,вторник,17:20-18:50,Общая группа,"Метрология, стандартизация и сертификация",Лекция,Быкова В.В.,1-401
24897_2_30032026_12042026.pdf,31.03.26,вторник,18:55-20:25,Общая группа,"Метрология, стандартизация и сертификация",Практическое занятие,Быкова В.В.,1-401
24897_2_30032026_12042026.pdf,01.04.26,среда,17:20-18:50,Общая группа,Надежность технических систем,Лекция,Томилов Д.Р.,1-401
24897_2_30032026_12042026.pdf,01.04.26,среда,18:55-20:25,Общая группа,Надежность технических систем,Практическое занятие,Томилов Д.Р.,1-401
24897_2_30032026_12042026.pdf,02.04.26,четверг,14:00-15:30,Общая группа,Управление профессиональными рисками,Лекция,Соловьева И.А.,1-516
24897_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,Общая группа,Управление профессиональными рисками,Практическое занятие,Соловьева И.А.,1-516
24897_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,Общая группа,Обучение по охране труда,Лекция,Быкова В.В.,1-401
24897_2_30032026_12042026.pdf,02.04.26,четверг,18:55-20:25,Общая группа,Обучение по охране труда,Практическое занятие,Быкова В.В.,1-401
24897_2_30032026_12042026.pdf,03.04.26,пятница,14:00-15:30,Общая группа,Безопасность инженерных систем зданий и сооружений,Лекция,Алешкин А.В.,6-204
24897_2_30032026_12042026.pdf,03.04.26,пятница,15:45-17:15,Общая группа,Безопасность инженерных систем зданий и сооружений,Практическое занятие,Алешкин А.В.,6-307
24897_2_30032026_12042026.pdf,06.04.26,понедельник,11:45-13:15,01 подгруппа,Баскетбол,Практическое занятие,Пластинина В.Б.,9-102
24897_2_30032026_12042026.pdf,06.04.26,понедельник,11:45-13:15,01 подгруппа,Волейбол,Практическое занятие,Салопин О.М.,9-208
24897_2_30032026_12042026.pdf,06.04.26,понедельник,11:45-13:15,01 подгруппа,Мини-футбол,Практическое занятие,Трушкова Е.Л.,9-102
24897_2_30032026_12042026.pdf,06.04.26,понедельник,11:45-13:15,02 подгруппа,Адаптивная физическая культура,Практическое занятие,Хлусьянов О.В.,9-116
24897_2_30032026_12042026.pdf,06.04.26,понедельник,11:45-13:15,Общая группа,физическая культура,Практическое занятие,Хлусьянов О.В.,9-116
24897_2_30032026_12042026.pdf,06.04.26,понедельник,14:00-15:30,Общая группа,Безопасность инженерных систем зданий и сооружений,Лабораторная работа,Алешкин А.В.,6-307
24897_2_30032026_12042026.pdf,06.04.26,понедельник,15:45-17:15,Общая группа,Безопасность инженерных систем зданий и сооружений,Лабораторная работа,Алешкин А.В.,6-307
24897_2_30032026_12042026.pdf,07.04.26,вторник,14:00-15:30,Общая группа,Проектная деятельность,Практическое занятие,Зонов А.В.,1-334
24897_2_30032026_12042026.pdf,07.04.26,вторник,15:45-17:15,Общая группа,Проектная деятельность,Практическое занятие,Зонов А.В.,1-334
24897_2_30032026_12042026.pdf,07.04.26,вторник,17:20-18:50,Общая группа,"Метрология, стандартизация и сертификация",Лабораторная работа,Быкова В.В.,1-401
24897_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,Общая группа,Безопасность инженерных систем зданий и сооружений,Лекция,Алешкин А.В.,6-204
24897_2_30032026_12042026.pdf,09.04.26,четверг,17:20-18:50,Общая группа,Безопасность инженерных систем зданий и сооружений,Практическое занятие,Алешкин А.В.,6-307
24897_2_30032026_12042026.pdf,10.04.26,пятница,14:00-15:30,Общая группа,Управление профессиональными рисками,Лекция,Соловьева И.А.,1-401
24897_2_30032026_12042026.pdf,10.04.26,пятница,15:45-17:15,Общая группа,Управление профессиональными рисками,Практическое занятие,Соловьева И.А.,1-401
24897_2_30032026_12042026.pdf,10.04.26,пятница,17:20-18:50,Общая группа,Надежность технических систем,Лекция,Томилов Д.Р.,1-401
24897_2_30032026_12042026.pdf,10.04.26,пятница,18:55-20:25,Общая группа,Надежность технических систем,Практическое занятие,Томилов Д.Р.,1-401
24897_2_30032026_12042026.pdf,11.04.26,суббота,10:00-11:30,Общая группа,"Метрология, стандартизация и сертификация",Лекция,Быкова В.В.,1-401
24897_2_30032026_12042026.pdf,11.04.26,суббота,11:45-13:15,Общая группа,"Метрология, стандартизация и сертификация",Практическое занятие,Быкова В.В.,1-401
