Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24764_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,Общая группа,Программирование систем управления,Лекция,Семеновых В.И.,2-203
24764_2_30032026_12042026.pdf,30.03.26,понедельник,14:00-15:30,Общая группа,Программирование систем управления,Практическое занятие,Семеновых В.И.,2-203
24764_2_30032026_12042026.pdf,31.03.26,вторник,15:45-17:15,Общая группа,Безопасность жизнедеятельности,Лабораторная работа,Солонщиков П.Н.,1-515
24764_2_30032026_12042026.pdf,31.03.26,вторник,17:20-18:50,Общая группа,Безопасность жизнедеятельности,Лабораторная работа,Солонщиков П.Н.,1-515
24764_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,Общая группа,Системное программирование,Лабораторная работа,Мамаева Е.А.,2-310
24764_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,Общая группа,Системное программирование,Лабораторная работа,Мамаева Е.А.,2-310
24764_2_30032026_12042026.pdf,01.04.26,среда,17:20-18:50,Общая группа,Микропроцессорные устройства систем управления,Практическое занятие,Сандаков С.Ю.,2-202
24764_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,Общая группа,Информационное обеспечение систем управления,Лабораторная работа,Фищева И.Н.,2-304
24764_2_30032026_12042026.pdf,02.04.26,четверг,11:45-13:15,Общая группа,Информационное обеспечение систем управления,Лабораторная работа,Фищева И.Н.,2-304
24764_2_30032026_12042026.pdf,02.04.26,четверг,14:00-15:30,Общая группа,Русский язык и культура речи,Практическое занятие,Фалеева А.С.,2-206
24764_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039) .,Практическое занятие,Хвостенко С.Ю.,9-101
24764_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Ромашов А.Ю.,9-115
24764_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Попова Н.Ю.,9-101/1
24764_2_30032026_12042026.pdf,03.04.26,пятница,17:20-18:50,Общая группа,Микропроцессорные устройства систем управления,Лабораторная работа,Сандаков С.Ю.,2-202
24764_2_30032026_12042026.pdf,03.04.26,пятница,18:55-20:25,Общая группа,Микропроцессорные устройства систем управления,Лабораторная работа,Сандаков С.Ю.,2-202
24764_2_30032026_12042026.pdf,06.04.26,понедельник,15:45-17:15,Общая группа,Безопасность жизнедеятельности,Практическое занятие,Солонщиков П.Н.,1-515
24764_2_30032026_12042026.pdf,06.04.26,понедельник,17:20-18:50,Общая группа,Микропроцессорные устройства систем управления,Лекция,Сандаков С.Ю.,2-405
24764_2_30032026_12042026.pdf,06.04.26,понедельник,18:55-20:25,Общая группа,Микропроцессорные устройства систем управления,Практическое занятие,Сандаков С.Ю.,2-202
24764_2_30032026_12042026.pdf,07.04.26,вторник,11:45-13:15,Общая группа,Программирование систем управления,Практическое занятие,Семеновых В.И.,2-203
24764_2_30032026_12042026.pdf,08.04.26,среда,10:00-11:30,Общая группа,Русский язык и культура речи,Практическое занятие,Фалеева А.С.,2-405
24764_2_30032026_12042026.pdf,08.04.26,среда,11:45-13:15,Общая группа,Русский язык и культура речи,Практическое занятие,Фалеева А.С.,2-405
24764_2_30032026_12042026.pdf,09.04.26,четверг,10:00-11:30,Общая группа,Системное программирование,Лекция,Мамаева Е.А.,2-304
24764_2_30032026_12042026.pdf,09.04.26,четверг,11:45-13:15,Общая группа,Системное программирование,Практическое занятие,Мамаева Е.А.,2-304
24764_2_30032026_12042026.pdf,09.04.26,четверг,14:00-15:30,Общая группа,Системное программирование,Практическое занятие,Мамаева Е.А.,2-304
24764_2_30032026_12042026.pdf,09.04.26,четверг,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039) .,Практическое занятие,Хвостенко С.Ю.,9-101
24764_2_30032026_12042026.pdf,09.04.26,четверг,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Ромашов А.Ю.,9-115
24764_2_30032026_12042026.pdf,09.04.26,четверг,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Попова Н.Ю.,9-101/1
24764_2_30032026_12042026.pdf,10.04.26,пятница,08:20-09:50,Общая группа,Информационное обеспечение систем управления,Лекция,Фищева И.Н.,2-403
24764_2_30032026_12042026.pdf,10.04.26,пятница,10:00-11:30,Общая группа,Информационное обеспечение систем управления,Практическое занятие,Фищева И.Н.,2-304
