Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ПТКс-1801-03-00.pdf,21.08.26,пятница,08:20-09:50,Общая группа,Физическая культура и спорт Зачет,Не указан,Ромашов А.Ю.,9-115
сессия_ПТКс-1801-03-00.pdf,21.08.26,пятница,08:20-09:50,Общая группа,Физическая культура и спорт Зачет,Не указан,Попова Н.Ю.,9-101
сессия_ПТКс-1801-03-00.pdf,21.08.26,пятница,08:20-09:50,Общая группа,Физическая культура и спорт Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_ПТКс-1801-03-00.pdf,21.08.26,пятница,11:45-13:15,Общая группа,Информационные технологии в профессиональной деятельности Зачет,Не указан,Чернявский В.Б.,10-206
сессия_ПТКс-1801-03-00.pdf,21.08.26,пятница,10:00-11:30,Общая группа,Математика Зачет,Не указан,Зеленина Н.А.,2-408
сессия_ПТКс-1801-03-00.pdf,21.08.26,пятница,11:45-13:15,Общая группа,Математика Зачет,Не указан,Зеленина Н.А.,2-408
сессия_ПТКс-1801-03-00.pdf,21.08.26,пятница,14:00-15:30,Общая группа,Инженерная графика Зачет,Не указан,Маринин Е.А.,10-205
сессия_ПТКс-1801-03-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Физика Зачет,Не указан,Гребенщиков М.Л.,2-303
сессия_ПТКс-1801-03-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Физика Зачет,Не указан,Гребенщиков М.Л.,2-303
сессия_ПТКс-1801-03-00.pdf,14.01.26,среда,08:20-09:50,Общая группа,Иностранный язык Зачет,Не указан,Деньгина М.Р.,2-108
сессия_ПТКс-1801-03-00.pdf,14.01.26,среда,10:00-11:30,Общая группа,Иностранный язык Зачет,Не указан,Деньгина М.Р.,2-108
сессия_ПТКс-1801-03-00.pdf,14.01.26,среда,11:45-13:15,Общая группа,Эффективные коммуникации Зачет,Не указан,Федянина О.Н.,2-108
сессия_ПТКс-1801-03-00.pdf,14.01.26,среда,14:00-15:30,Общая группа,Эффективные коммуникации Зачет,Не указан,Федянина О.Н.,2-108
сессия_ПТКс-1801-03-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Основы российской государственности Консультация,Не указан,Мищенко Н.С.,2-103
сессия_ПТКс-1801-03-00.pdf,30.10.20,пятница,10:00-11:30,Общая группа,Основы российской государственности Экзамен,Не указан,Мищенко Н.С.,2-103
сессия_ПТКс-1801-03-00.pdf,30.10.20,пятница,11:45-13:15,Общая группа,Основы российской государственности Экзамен,Не указан,Мищенко Н.С.,2-103
сессия_ПТКс-1801-03-00.pdf,22.01.26,четверг,08:20-09:50,Общая группа,Введение в профессию Консультация,Не указан,Маринин Е.А.,10-203
сессия_ПТКс-1801-03-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Введение в профессию Экзамен,Не указан,Маринин Е.А.,10-203
