Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Не указан,Мешенина Н.В.,9-102
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Не указан,Мешенина Н.В.,9-102
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,Общая группа,"Фитнес-аэробика , Элективные дисциплины (модули) по физической культуре и спорту (21 285)",Практическое занятие,Полубоярцев С.А.,9-101
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,02 подгруппа,"Фитнес-аэробика , Элективные дисциплины (модули) по физической культуре и спорту (21 285)",Практическое занятие,Полубоярцев С.А.,9-101
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Рябова Ю.С.,9-208
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Рябова Ю.С.,9-208
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Рябова Ю.С.,9-208
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Не указан,Тарасова А.А.,9-102
472_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Не указан,Тарасова А.А.,9-102
495_1_25052026_07062026.html,01.06.26,понедельник,08:20-09:50,Общая группа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Не указан,Волоцкой А.Н.,6-204
495_1_25052026_07062026.html,01.06.26,понедельник,08:20-09:50,01 подгруппа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Не указан,Волоцкой А.Н.,6-204
495_1_25052026_07062026.html,01.06.26,понедельник,08:20-09:50,02 подгруппа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Не указан,Волоцкой А.Н.,6-204
495_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,Общая группа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Не указан,Волоцкой А.Н.,6-204
495_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,01 подгруппа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Не указан,Волоцкой А.Н.,6-204
495_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,02 подгруппа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Не указан,Волоцкой А.Н.,6-204
