Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
453_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,Общая группа,Инновации в туризме,Не указан,Агалакова О.С.,14-130
453_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,01 подгруппа,Инновации в туризме,Не указан,Агалакова О.С.,14-130
453_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,02 подгруппа,Инновации в туризме,Не указан,Агалакова О.С.,14-130
453_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,Общая группа,Инновации в туризме,Не указан,Агалакова О.С.,14-130
453_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,01 подгруппа,Инновации в туризме,Не указан,Агалакова О.С.,14-130
453_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,02 подгруппа,Инновации в туризме,Не указан,Агалакова О.С.,14-130
453_1_25052026_07062026.html,01.06.26,понедельник,14:00-15:30,Общая группа,Организация ресторанного и гостиничного дела,Не указан,Веприкова А.А.,14-140
453_1_25052026_07062026.html,01.06.26,понедельник,14:00-15:30,01 подгруппа,Организация ресторанного и гостиничного дела,Не указан,Веприкова А.А.,14-140
453_1_25052026_07062026.html,01.06.26,понедельник,14:00-15:30,02 подгруппа,Организация ресторанного и гостиничного дела,Не указан,Веприкова А.А.,14-140
453_1_25052026_07062026.html,01.06.26,понедельник,15:45-17:15,Общая группа,Организация ресторанного и гостиничного дела,Не указан,Веприкова А.А.,14-140
453_1_25052026_07062026.html,01.06.26,понедельник,15:45-17:15,01 подгруппа,Организация ресторанного и гостиничного дела,Не указан,Веприкова А.А.,14-140
453_1_25052026_07062026.html,01.06.26,понедельник,15:45-17:15,02 подгруппа,Организация ресторанного и гостиничного дела,Не указан,Веприкова А.А.,14-140
