Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
485_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Биохимия,Не указан,Лундовских И.А.,1-118
485_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,Биохимия,Не указан,Лундовских И.А.,1-118
485_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Биохимия,Не указан,Лундовских И.А.,1-118
485_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,Общая группа,Биохимия,Не указан,Лундовских И.А.,1-118
485_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,01 подгруппа,Биохимия,Не указан,Лундовских И.А.,1-118
485_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,02 подгруппа,Биохимия,Не указан,Лундовских И.А.,1-118
894_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Технологии социального и профессионального взаимодействия,Не указан,Сараева Е.В.,1-222
894_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Сараева Е.В.,1-222
894_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Сараева Е.В.,1-222
894_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,Технологии социального и профессионального взаимодействия,Не указан,Сараева Е.В.,1-222
894_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Сараева Е.В.,1-222
894_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Сараева Е.В.,1-222
