Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
514_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Управление качеством,Лекция,Гордин А.А.,2-407
514_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,Управление качеством,Лекция,Гордин А.А.,2-407
514_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Управление качеством,Лекция,Гордин А.А.,2-407
514_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,Общая группа,Управление качеством,Практическое занятие,Гордин А.А.,2-204а
514_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,01 подгруппа,Управление качеством,Практическое занятие,Гордин А.А.,2-204а
514_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,02 подгруппа,Управление качеством,Практическое занятие,Гордин А.А.,2-204а
515_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Управление бизнес-процессами инновационного предприятия,Лекция,Ситникова Е.Л.,14-104
515_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Управление бизнес-процессами инновационного предприятия,Лекция,Ситникова Е.Л.,14-104
515_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Управление бизнес-процессами инновационного предприятия,Лекция,Ситникова Е.Л.,14-104
515_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,Управление бизнес-процессами инновационного предприятия,Практическое занятие,Ситникова Е.Л.,14-104
515_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,Управление бизнес-процессами инновационного предприятия,Практическое занятие,Ситникова Е.Л.,14-104
515_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,Управление бизнес-процессами инновационного предприятия,Практическое занятие,Ситникова Е.Л.,14-104
