Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
893_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,История Вятского края,Лекция,Мищенко Н.С.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,История Вятского края,Лекция,Мищенко Н.С.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,История Вятского края,Лекция,Мищенко Н.С.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,Общая группа,История Вятского края,Практическое занятие,Мищенко Н.С.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,01 подгруппа,История Вятского края,Практическое занятие,Мищенко Н.С.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,02 подгруппа,История Вятского края,Практическое занятие,Мищенко Н.С.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,История России 1917-1941 годов,Лекция,Росина М.А.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,История России 1917-1941 годов,Лекция,Росина М.А.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,История России 1917-1941 годов,Лекция,Росина М.А.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,История России 1917-1941 годов,Практическое занятие,Росина М.А.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,История России 1917-1941 годов,Практическое занятие,Росина М.А.,14-208
893_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,История России 1917-1941 годов,Практическое занятие,Росина М.А.,14-208
