Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
456_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Экономическая теория,Лекция,Коротаева О.А.,13-111
456_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Экономическая теория,Лекция,Коротаева О.А.,13-111
456_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Экономическая теория,Лекция,Коротаева О.А.,13-111
456_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,03 подгруппа,Экономическая теория,Лекция,Коротаева О.А.,13-111
456_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
456_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
456_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
456_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,03 подгруппа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
456_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,Общая группа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
456_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,01 подгруппа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
456_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,02 подгруппа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
456_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,03 подгруппа,Экономическая теория,Практическое занятие,Коротаева О.А.,13-513
