Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
924_1_25052026_07062026.html,02.06.26,вторник,08:20-09:50,Общая группа,Инженерная графика,Лекция,Земцова Н.С.,1-531
924_1_25052026_07062026.html,02.06.26,вторник,08:20-09:50,01 подгруппа,Инженерная графика,Лекция,Земцова Н.С.,1-531
924_1_25052026_07062026.html,02.06.26,вторник,08:20-09:50,02 подгруппа,Инженерная графика,Лекция,Земцова Н.С.,1-531
924_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Инженерная графика,Практическое занятие,Земцова Н.С.,1-531
924_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,Инженерная графика,Практическое занятие,Земцова Н.С.,1-531
924_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Инженерная графика,Практическое занятие,Земцова Н.С.,1-531
924_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Основы информатики,Лекция,Синицына О.В.,6-210
924_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Основы информатики,Лекция,Синицына О.В.,6-210
924_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Основы информатики,Лекция,Синицына О.В.,6-210
924_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,Основы информатики,Лекция,Синицына О.В.,6-210
924_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,Основы информатики,Лекция,Синицына О.В.,6-210
924_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,Основы информатики,Лекция,Синицына О.В.,6-210
