Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
511_1_25052026_07062026.html,02.06.26,вторник,08:20-09:50,Общая группа,Экономический анализ деятельности предприятия,Не указан,Гамулинская Н.В.,16-224
511_1_25052026_07062026.html,02.06.26,вторник,08:20-09:50,01 подгруппа,Экономический анализ деятельности предприятия,Не указан,Гамулинская Н.В.,16-224
511_1_25052026_07062026.html,02.06.26,вторник,08:20-09:50,02 подгруппа,Экономический анализ деятельности предприятия,Не указан,Гамулинская Н.В.,16-224
511_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Экономический анализ деятельности предприятия,Не указан,Гамулинская Н.В.,16-224
511_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,Экономический анализ деятельности предприятия,Не указан,Гамулинская Н.В.,16-224
511_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Экономический анализ деятельности предприятия,Не указан,Гамулинская Н.В.,16-224
512_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Инвестиции и оценка инвестиционных проектов предприятия,Не указан,Гринь С.В.,16-210
512_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Инвестиции и оценка инвестиционных проектов предприятия,Не указан,Гринь С.В.,16-210
512_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Инвестиции и оценка инвестиционных проектов предприятия,Не указан,Гринь С.В.,16-210
512_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,Инвестиции и оценка инвестиционных проектов предприятия,Не указан,Гринь С.В.,16-210
512_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,Инвестиции и оценка инвестиционных проектов предприятия,Не указан,Гринь С.В.,16-210
512_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,Инвестиции и оценка инвестиционных проектов предприятия,Не указан,Гринь С.В.,16-210
