Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
482_1_25052026_07062026.html,04.06.26,четверг,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Щекочихина Е.В.,2-407
482_1_25052026_07062026.html,04.06.26,четверг,14:00-15:30,01 подгруппа,Иностранный язык,Практическое занятие,Щекочихина Е.В.,2-407
482_1_25052026_07062026.html,04.06.26,четверг,14:00-15:30,02 подгруппа,Иностранный язык,Практическое занятие,Щекочихина Е.В.,2-407
482_1_25052026_07062026.html,04.06.26,четверг,14:00-15:30,03 подгруппа,Иностранный язык,Практическое занятие,Щекочихина Е.В.,2-407
888_1_25052026_07062026.html,04.06.26,четверг,10:00-11:30,Общая группа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
888_1_25052026_07062026.html,04.06.26,четверг,10:00-11:30,01 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
888_1_25052026_07062026.html,04.06.26,четверг,10:00-11:30,02 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
888_1_25052026_07062026.html,04.06.26,четверг,10:00-11:30,03 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
888_1_25052026_07062026.html,04.06.26,четверг,11:45-13:15,Общая группа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
888_1_25052026_07062026.html,04.06.26,четверг,11:45-13:15,01 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
888_1_25052026_07062026.html,04.06.26,четверг,11:45-13:15,02 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
888_1_25052026_07062026.html,04.06.26,четверг,11:45-13:15,03 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Котельникова А.В.,16-415
