Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
513_1_25052026_07062026.html,05.06.26,пятница,14:00-15:30,Общая группа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
513_1_25052026_07062026.html,05.06.26,пятница,14:00-15:30,01 подгруппа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
513_1_25052026_07062026.html,05.06.26,пятница,14:00-15:30,02 подгруппа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
513_1_25052026_07062026.html,05.06.26,пятница,14:00-15:30,03 подгруппа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
515_1_25052026_07062026.html,05.06.26,пятница,17:20-18:50,Общая группа,Введение в профессию,Лекция,Улыбина Е.А.,14-104
515_1_25052026_07062026.html,05.06.26,пятница,17:20-18:50,01 подгруппа,Введение в профессию,Лекция,Улыбина Е.А.,14-104
515_1_25052026_07062026.html,05.06.26,пятница,17:20-18:50,02 подгруппа,Введение в профессию,Лекция,Улыбина Е.А.,14-104
515_1_25052026_07062026.html,05.06.26,пятница,17:20-18:50,03 подгруппа,Введение в профессию,Лекция,Улыбина Е.А.,14-104
515_1_25052026_07062026.html,05.06.26,пятница,18:55-20:25,Общая группа,Введение в профессию,Практическое занятие,Улыбина Е.А.,14-104
515_1_25052026_07062026.html,05.06.26,пятница,18:55-20:25,01 подгруппа,Введение в профессию,Практическое занятие,Улыбина Е.А.,14-104
515_1_25052026_07062026.html,05.06.26,пятница,18:55-20:25,02 подгруппа,Введение в профессию,Практическое занятие,Улыбина Е.А.,14-104
515_1_25052026_07062026.html,05.06.26,пятница,18:55-20:25,03 подгруппа,Введение в профессию,Практическое занятие,Улыбина Е.А.,14-104
893_1_25052026_07062026.html,05.06.26,пятница,15:45-17:15,Общая группа,История России,Практическое занятие,Мокерова Е.Ю.,14-316
893_1_25052026_07062026.html,05.06.26,пятница,15:45-17:15,01 подгруппа,История России,Практическое занятие,Мокерова Е.Ю.,14-316
893_1_25052026_07062026.html,05.06.26,пятница,15:45-17:15,02 подгруппа,История России,Практическое занятие,Мокерова Е.Ю.,14-316
893_1_25052026_07062026.html,05.06.26,пятница,15:45-17:15,03 подгруппа,История России,Практическое занятие,Мокерова Е.Ю.,14-316
