Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
518_1_25052026_07062026.html,05.06.26,пятница,10:00-11:30,Общая группа,Математика,Лекция,Корепанов А.Г.,1-534
518_1_25052026_07062026.html,05.06.26,пятница,10:00-11:30,01 подгруппа,Математика,Лекция,Корепанов А.Г.,1-534
518_1_25052026_07062026.html,05.06.26,пятница,10:00-11:30,02 подгруппа,Математика,Лекция,Корепанов А.Г.,1-534
518_1_25052026_07062026.html,05.06.26,пятница,10:00-11:30,03 подгруппа,Математика,Лекция,Корепанов А.Г.,1-534
518_1_25052026_07062026.html,05.06.26,пятница,14:00-15:30,Общая группа,Конфиденциальный документооборот,Лабораторная работа,Голубева В.С.,3-204б
518_1_25052026_07062026.html,05.06.26,пятница,14:00-15:30,02 подгруппа,Конфиденциальный документооборот,Лабораторная работа,Голубева В.С.,3-204б
518_1_25052026_07062026.html,05.06.26,пятница,15:45-17:15,Общая группа,Конфиденциальный документооборот,Лабораторная работа,Голубева В.С.,3-204б
518_1_25052026_07062026.html,05.06.26,пятница,15:45-17:15,02 подгруппа,Конфиденциальный документооборот,Лабораторная работа,Голубева В.С.,3-204б
893_1_25052026_07062026.html,05.06.26,пятница,11:45-13:15,Общая группа,История России,Лекция,Рычкова О.В.,2-409
893_1_25052026_07062026.html,05.06.26,пятница,11:45-13:15,01 подгруппа,История России,Лекция,Рычкова О.В.,2-409
893_1_25052026_07062026.html,05.06.26,пятница,11:45-13:15,02 подгруппа,История России,Лекция,Рычкова О.В.,2-409
893_1_25052026_07062026.html,05.06.26,пятница,11:45-13:15,03 подгруппа,История России,Лекция,Рычкова О.В.,2-409
