Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Не указан,Мешенина Н.В.,9-102
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Не указан,Мешенина Н.В.,9-102
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Не указан,Полубоярцев С.А.,9-101
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Не указан,Полубоярцев С.А.,9-101
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Рябова Ю.С.,9-208
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Рябова Ю.С.,9-208
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Рябова Ю.С.,9-208
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Не указан,Тарасова А.А.,9-102
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Не указан,Тарасова А.А.,9-102
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Не указан,Хвостенко С.Ю.,9-116
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Не указан,Хвостенко С.Ю.,9-116
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Не указан,Хвостенко С.Ю.,9-116
491_1_08062026_21062026.html,08.06.26,понедельник,08:20-09:50,Общая группа,Архитектурное материаловедение,Не указан,Писарев А.А.,6-401
491_1_08062026_21062026.html,08.06.26,понедельник,08:20-09:50,01 подгруппа,Архитектурное материаловедение,Не указан,Писарев А.А.,6-401
491_1_08062026_21062026.html,08.06.26,понедельник,08:20-09:50,02 подгруппа,Архитектурное материаловедение,Не указан,Писарев А.А.,6-401
491_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,Общая группа,Архитектурное материаловедение,Не указан,Писарев А.А.,6-401
491_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,01 подгруппа,Архитектурное материаловедение,Не указан,Писарев А.А.,6-401
491_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,02 подгруппа,Архитектурное материаловедение,Не указан,Писарев А.А.,6-401
