Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
471_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,Общая группа,Физиология высшей нервной деятельности,Практическое занятие,Беспятых О.Ю.,15-116
471_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,01 подгруппа,Физиология высшей нервной деятельности,Практическое занятие,Беспятых О.Ю.,15-116
471_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,02 подгруппа,Физиология высшей нервной деятельности,Практическое занятие,Беспятых О.Ю.,15-116
471_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,Общая группа,Физиология высшей нервной деятельности,Практическое занятие,Беспятых О.Ю.,15-116
471_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,01 подгруппа,Физиология высшей нервной деятельности,Практическое занятие,Беспятых О.Ю.,15-116
471_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,02 подгруппа,Физиология высшей нервной деятельности,Практическое занятие,Беспятых О.Ю.,15-116
894_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,Общая группа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,01 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,02 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
