Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
513_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,Общая группа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
513_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,01 подгруппа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
513_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,02 подгруппа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
513_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,03 подгруппа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
513_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,Общая группа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
513_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,01 подгруппа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
513_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,02 подгруппа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
513_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,03 подгруппа,Экономика организаций (предприятий),Не указан,Бакулин Ю.А.,16-310
892_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,Общая группа,Философия,Не указан,Голенок М.П.,16-311
892_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,01 подгруппа,Философия,Не указан,Голенок М.П.,16-311
892_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,02 подгруппа,Философия,Не указан,Голенок М.П.,16-311
892_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,03 подгруппа,Философия,Не указан,Голенок М.П.,16-311
892_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,Общая группа,Философия,Не указан,Голенок М.П.,16-311
892_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,01 подгруппа,Философия,Не указан,Голенок М.П.,16-311
892_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,02 подгруппа,Философия,Не указан,Голенок М.П.,16-311
892_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,03 подгруппа,Философия,Не указан,Голенок М.П.,16-311
