Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
893_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,Общая группа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
893_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,01 подгруппа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
893_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,02 подгруппа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
893_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,03 подгруппа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
893_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,Общая группа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
893_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,01 подгруппа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
893_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,02 подгруппа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
893_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,03 подгруппа,"История России , , , История России",Не указан,Мокерова Е.Ю.,14-113
894_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,Общая группа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
894_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,01 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
894_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,02 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
894_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,03 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
894_1_08062026_21062026.html,09.06.26,вторник,18:55-20:25,Общая группа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
894_1_08062026_21062026.html,09.06.26,вторник,18:55-20:25,01 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
894_1_08062026_21062026.html,09.06.26,вторник,18:55-20:25,02 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
894_1_08062026_21062026.html,09.06.26,вторник,18:55-20:25,03 подгруппа,Технологии социального и профессионального взаимодействия,Не указан,Копанев А.Н.,14-114
