Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
482_1_08062026_21062026.html,09.06.26,вторник,08:20-09:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,08:20-09:50,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,08:20-09:50,02 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,02 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,Общая группа,Иностранный язык в профессиональной деятельности,Не указан,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,01 подгруппа,Иностранный язык в профессиональной деятельности,Не указан,Шалагинова Е.А.,1-222
482_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,02 подгруппа,Иностранный язык в профессиональной деятельности,Не указан,Шалагинова Е.А.,1-222
503_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,Общая группа,Менеджмент качества и конкурентоспособности,Не указан,Апатов К.Ю.,10-200
503_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,01 подгруппа,Менеджмент качества и конкурентоспособности,Не указан,Апатов К.Ю.,10-200
503_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,02 подгруппа,Менеджмент качества и конкурентоспособности,Не указан,Апатов К.Ю.,10-200
503_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,Общая группа,Менеджмент качества и конкурентоспособности,Не указан,Апатов К.Ю.,10-200
503_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,01 подгруппа,Менеджмент качества и конкурентоспособности,Не указан,Апатов К.Ю.,10-200
503_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,02 подгруппа,Менеджмент качества и конкурентоспособности,Не указан,Апатов К.Ю.,10-200
