Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Не указан,Боков А.В.,14-147
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Не указан,Боков А.В.,14-147
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Клецко А.Н.,14-147
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Не указан,Клецко А.Н.,14-147
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Не указан,Подковырин В.Д.,14-106
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Не указан,Подковырин В.Д.,14-106
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Не указан,Стрельникова И.В.,14-147
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Не указан,Стрельникова И.В.,14-147
472_1_08062026_21062026.html,09.06.26,вторник,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Не указан,Стрельникова И.В.,14-147
888_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,Общая группа,Теория информации и кодирования,Не указан,Бояринцева Н.А.,16-419
888_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,01 подгруппа,Теория информации и кодирования,Не указан,Бояринцева Н.А.,16-419
888_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,02 подгруппа,Теория информации и кодирования,Не указан,Бояринцева Н.А.,16-419
888_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,Общая группа,Теория информации и кодирования,Не указан,Бояринцева Н.А.,16-419
888_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,01 подгруппа,Теория информации и кодирования,Не указан,Бояринцева Н.А.,16-419
888_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,02 подгруппа,Теория информации и кодирования,Не указан,Бояринцева Н.А.,16-419
