Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
456_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,Общая группа,Правоохранительные органы,Не указан,Бабайлов В.А.,13-510
456_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,01 подгруппа,Правоохранительные органы,Не указан,Бабайлов В.А.,13-510
456_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,02 подгруппа,Правоохранительные органы,Не указан,Бабайлов В.А.,13-510
456_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,03 подгруппа,Правоохранительные органы,Не указан,Бабайлов В.А.,13-510
482_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,Общая группа,"Иностранный язык , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,02 подгруппа,"Иностранный язык , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,Общая группа,Иностранный язык в сфере юриспруденции,Не указан,Никулина Е.Г.,13-507
482_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,01 подгруппа,Иностранный язык в сфере юриспруденции,Не указан,Никулина Е.Г.,13-507
482_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,Общая группа,"Иностранный язык , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,02 подгруппа,"Иностранный язык , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,Общая группа,Иностранный язык в сфере юриспруденции,Не указан,Никулина Е.Г.,13-507
482_1_08062026_21062026.html,09.06.26,вторник,15:45-17:15,01 подгруппа,Иностранный язык в сфере юриспруденции,Не указан,Никулина Е.Г.,13-507
