Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
429_1_08062026_21062026.html,10.06.26,среда,10:00-11:30,Общая группа,Введение в профессию,Не указан,Петухов Д.В.,15-310
429_1_08062026_21062026.html,10.06.26,среда,10:00-11:30,01 подгруппа,Введение в профессию,Не указан,Петухов Д.В.,15-310
429_1_08062026_21062026.html,10.06.26,среда,10:00-11:30,02 подгруппа,Введение в профессию,Не указан,Петухов Д.В.,15-310
429_1_08062026_21062026.html,10.06.26,среда,10:00-11:30,03 подгруппа,Введение в профессию,Не указан,Петухов Д.В.,15-310
429_1_08062026_21062026.html,10.06.26,среда,11:45-13:15,Общая группа,Введение в профессию,Не указан,Петухов Д.В.,15-310
429_1_08062026_21062026.html,10.06.26,среда,11:45-13:15,01 подгруппа,Введение в профессию,Не указан,Петухов Д.В.,15-310
429_1_08062026_21062026.html,10.06.26,среда,11:45-13:15,02 подгруппа,Введение в профессию,Не указан,Петухов Д.В.,15-310
429_1_08062026_21062026.html,10.06.26,среда,11:45-13:15,03 подгруппа,Введение в профессию,Не указан,Петухов Д.В.,15-310
487_1_08062026_21062026.html,10.06.26,среда,14:00-15:30,Общая группа,Управление проектами и работа в команде,Не указан,Девятерикова С.В.,15-311
487_1_08062026_21062026.html,10.06.26,среда,14:00-15:30,01 подгруппа,Управление проектами и работа в команде,Не указан,Девятерикова С.В.,15-311
487_1_08062026_21062026.html,10.06.26,среда,14:00-15:30,02 подгруппа,Управление проектами и работа в команде,Не указан,Девятерикова С.В.,15-311
487_1_08062026_21062026.html,10.06.26,среда,14:00-15:30,03 подгруппа,Управление проектами и работа в команде,Не указан,Девятерикова С.В.,15-311
