Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
482_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,Общая группа,"Иностранный язык , , , , , , , Иностранный язык",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,02 подгруппа,"Иностранный язык , , , , , , , Иностранный язык",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Тютюнник И.А.,14-221
482_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,01 подгруппа,Иностранный язык,Практическое занятие,Тютюнник И.А.,14-221
482_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,Общая группа,Иностранный язык,Практическое занятие,Тютюнник И.А.,14-221
482_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,01 подгруппа,Иностранный язык,Практическое занятие,Тютюнник И.А.,14-221
892_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,Общая группа,Методология и методы социологического исследования,Лекция,Кушова И.А.,14-130
892_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,01 подгруппа,Методология и методы социологического исследования,Лекция,Кушова И.А.,14-130
892_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,02 подгруппа,Методология и методы социологического исследования,Лекция,Кушова И.А.,14-130
892_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,03 подгруппа,Методология и методы социологического исследования,Лекция,Кушова И.А.,14-130
892_1_08062026_21062026.html,11.06.26,четверг,11:45-13:15,Общая группа,Методология и методы социологического исследования,Практическое занятие,Кушова И.А.,14-133
892_1_08062026_21062026.html,11.06.26,четверг,11:45-13:15,01 подгруппа,Методология и методы социологического исследования,Практическое занятие,Кушова И.А.,14-133
892_1_08062026_21062026.html,11.06.26,четверг,11:45-13:15,02 подгруппа,Методология и методы социологического исследования,Практическое занятие,Кушова И.А.,14-133
892_1_08062026_21062026.html,11.06.26,четверг,11:45-13:15,03 подгруппа,Методология и методы социологического исследования,Практическое занятие,Кушова И.А.,14-133
