Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Беличева Т.В.,13-001
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Беличева Т.В.,13-001
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Беличева Т.В.,13-001
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Подковырин В.Д.,14-106
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Подковырин В.Д.,14-106
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Подковырин В.Д.,14-106
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлусьянов О.В.,14-147
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлусьянов О.В.,14-147
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Хлюпина Е.Г.,14-147
472_1_08062026_21062026.html,11.06.26,четверг,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Хлюпина Е.Г.,14-147
511_1_08062026_21062026.html,11.06.26,четверг,11:45-13:15,Общая группа,Экономический анализ,Практическое занятие,Харлапенко К.Е.,16-216
511_1_08062026_21062026.html,11.06.26,четверг,11:45-13:15,01 подгруппа,Экономический анализ,Практическое занятие,Харлапенко К.Е.,16-216
511_1_08062026_21062026.html,11.06.26,четверг,11:45-13:15,02 подгруппа,Экономический анализ,Практическое занятие,Харлапенко К.Е.,16-216
511_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,Общая группа,Экономический анализ,Практическое занятие,Харлапенко К.Е.,16-216
511_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,01 подгруппа,Экономический анализ,Практическое занятие,Харлапенко К.Е.,16-216
511_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,02 подгруппа,Экономический анализ,Практическое занятие,Харлапенко К.Е.,16-216
513_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,Общая группа,Статистика,Лекция,Братухина Е.А.,16-212
513_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,01 подгруппа,Статистика,Лекция,Братухина Е.А.,16-212
513_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,02 подгруппа,Статистика,Лекция,Братухина Е.А.,16-212
