Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
505_1_08062026_21062026.html,16.06.26,вторник,08:20-09:50,Общая группа,Технологические энергоносители предприятий,Лекция,Сущих В.М.,10-218
505_1_08062026_21062026.html,16.06.26,вторник,08:20-09:50,01 подгруппа,Технологические энергоносители предприятий,Лекция,Сущих В.М.,10-218
505_1_08062026_21062026.html,16.06.26,вторник,08:20-09:50,02 подгруппа,Технологические энергоносители предприятий,Лекция,Сущих В.М.,10-218
505_1_08062026_21062026.html,16.06.26,вторник,10:00-11:30,Общая группа,Технологические энергоносители предприятий,Практическое занятие,Сущих В.М.,10-218
505_1_08062026_21062026.html,16.06.26,вторник,10:00-11:30,01 подгруппа,Технологические энергоносители предприятий,Практическое занятие,Сущих В.М.,10-218
505_1_08062026_21062026.html,16.06.26,вторник,10:00-11:30,02 подгруппа,Технологические энергоносители предприятий,Практическое занятие,Сущих В.М.,10-218
505_1_08062026_21062026.html,16.06.26,вторник,11:45-13:15,Общая группа,Топливо и теория горения,Не указан,Сущих В.М.,8-310
505_1_08062026_21062026.html,16.06.26,вторник,11:45-13:15,01 подгруппа,Топливо и теория горения,Не указан,Сущих В.М.,8-310
505_1_08062026_21062026.html,16.06.26,вторник,11:45-13:15,02 подгруппа,Топливо и теория горения,Не указан,Сущих В.М.,8-310
505_1_08062026_21062026.html,16.06.26,вторник,14:00-15:30,Общая группа,Топливо и теория горения,Не указан,Сущих В.М.,8-310
505_1_08062026_21062026.html,16.06.26,вторник,14:00-15:30,01 подгруппа,Топливо и теория горения,Не указан,Сущих В.М.,8-310
505_1_08062026_21062026.html,16.06.26,вторник,14:00-15:30,02 подгруппа,Топливо и теория горения,Не указан,Сущих В.М.,8-310
