Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
465_1_08062026_21062026.html,17.06.26,среда,08:20-09:50,Общая группа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-324
465_1_08062026_21062026.html,17.06.26,среда,08:20-09:50,01 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-324
465_1_08062026_21062026.html,17.06.26,среда,08:20-09:50,02 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-324
465_1_08062026_21062026.html,17.06.26,среда,10:00-11:30,Общая группа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-324
465_1_08062026_21062026.html,17.06.26,среда,10:00-11:30,01 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-324
465_1_08062026_21062026.html,17.06.26,среда,10:00-11:30,02 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-324
471_1_08062026_21062026.html,17.06.26,среда,14:00-15:30,Общая группа,"Возрастная анатомия, физиология и основы медицинских знаний",Практическое занятие,Постников Н.К.,19-219
471_1_08062026_21062026.html,17.06.26,среда,14:00-15:30,01 подгруппа,"Возрастная анатомия, физиология и основы медицинских знаний",Практическое занятие,Постников Н.К.,19-219
471_1_08062026_21062026.html,17.06.26,среда,14:00-15:30,02 подгруппа,"Возрастная анатомия, физиология и основы медицинских знаний",Практическое занятие,Постников Н.К.,19-219
894_1_08062026_21062026.html,17.06.26,среда,11:45-13:15,Общая группа,Психология,Практическое занятие,Рожнева Е.В.,15-227
894_1_08062026_21062026.html,17.06.26,среда,11:45-13:15,01 подгруппа,Психология,Практическое занятие,Рожнева Е.В.,15-227
894_1_08062026_21062026.html,17.06.26,среда,11:45-13:15,02 подгруппа,Психология,Практическое занятие,Рожнева Е.В.,15-227
