Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
465_1_08062026_21062026.html,19.06.26,пятница,14:00-15:30,Общая группа,Педагогика,Практическое занятие,Набоких А.А.,14-334
465_1_08062026_21062026.html,19.06.26,пятница,14:00-15:30,01 подгруппа,Педагогика,Практическое занятие,Набоких А.А.,14-334
465_1_08062026_21062026.html,19.06.26,пятница,14:00-15:30,02 подгруппа,Педагогика,Практическое занятие,Набоких А.А.,14-334
482_1_08062026_21062026.html,19.06.26,пятница,11:45-13:15,Общая группа,Иностранный язык,Не указан,Четвериков Б.А.,19-259
482_1_08062026_21062026.html,19.06.26,пятница,11:45-13:15,02 подгруппа,Иностранный язык,Не указан,Четвериков Б.А.,19-259
893_1_08062026_21062026.html,19.06.26,пятница,15:45-17:15,Общая группа,История России,Лекция,Машковцева В.В.,14-221
893_1_08062026_21062026.html,19.06.26,пятница,15:45-17:15,01 подгруппа,История России,Лекция,Машковцева В.В.,14-221
893_1_08062026_21062026.html,19.06.26,пятница,15:45-17:15,02 подгруппа,История России,Лекция,Машковцева В.В.,14-221
893_1_08062026_21062026.html,19.06.26,пятница,17:20-18:50,Общая группа,История России,Лекция,Машковцева В.В.,14-221
893_1_08062026_21062026.html,19.06.26,пятница,17:20-18:50,01 подгруппа,История России,Лекция,Машковцева В.В.,14-221
893_1_08062026_21062026.html,19.06.26,пятница,17:20-18:50,02 подгруппа,История России,Лекция,Машковцева В.В.,14-221
913_1_08062026_21062026.html,19.06.26,пятница,10:00-11:30,Общая группа,Базовые виды двигательной деятельности и методики обучения: плавание,Практическое занятие,Наговицын Р.С.,19-159
913_1_08062026_21062026.html,19.06.26,пятница,10:00-11:30,01 подгруппа,Базовые виды двигательной деятельности и методики обучения: плавание,Практическое занятие,Наговицын Р.С.,19-159
913_1_08062026_21062026.html,19.06.26,пятница,10:00-11:30,02 подгруппа,Базовые виды двигательной деятельности и методики обучения: плавание,Практическое занятие,Наговицын Р.С.,19-159
