Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
489_1_08062026_21062026.html,20.06.26,суббота,08:20-09:50,Общая группа,Инновационные технологии переработки полимеров и композитов,Лекция,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,08:20-09:50,01 подгруппа,Инновационные технологии переработки полимеров и композитов,Лекция,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,08:20-09:50,02 подгруппа,Инновационные технологии переработки полимеров и композитов,Лекция,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,10:00-11:30,Общая группа,Инновационные технологии переработки полимеров и композитов,Лекция,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,10:00-11:30,01 подгруппа,Инновационные технологии переработки полимеров и композитов,Лекция,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,10:00-11:30,02 подгруппа,Инновационные технологии переработки полимеров и композитов,Лекция,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,11:45-13:15,Общая группа,Инновационные технологии переработки полимеров и композитов,Практическое занятие,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,11:45-13:15,01 подгруппа,Инновационные технологии переработки полимеров и композитов,Практическое занятие,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,11:45-13:15,02 подгруппа,Инновационные технологии переработки полимеров и композитов,Практическое занятие,Фомин С.В.,1-032д
489_1_08062026_21062026.html,20.06.26,суббота,14:00-15:30,Общая группа,Физико-химические основы переработки полимеров,Лабораторная работа,Шилов И.Б.,1-528
489_1_08062026_21062026.html,20.06.26,суббота,14:00-15:30,01 подгруппа,Физико-химические основы переработки полимеров,Лабораторная работа,Шилов И.Б.,1-528
489_1_08062026_21062026.html,20.06.26,суббота,14:00-15:30,02 подгруппа,Физико-химические основы переработки полимеров,Лабораторная работа,Шилов И.Б.,1-528
