Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
429_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,Общая группа,Теоретические основы химии,Лабораторная работа,Козвонин В.А.,15-419
429_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,02 подгруппа,Теоретические основы химии,Лабораторная работа,Козвонин В.А.,15-419
429_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,Общая группа,Теоретические основы химии,Лабораторная работа,Козвонин В.А.,15-419
429_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,02 подгруппа,Теоретические основы химии,Лабораторная работа,Козвонин В.А.,15-419
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Боков А.В.,14-115
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Боков А.В.,14-115
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Боков А.В.,14-115
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131) , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Плюснина Ю.А.,19-301
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131) , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Плюснина Ю.А.,19-301
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Полубоярцев С.А.,9-101
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Полубоярцев С.А.,9-101
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (21 284) , , , , , , , Атлетическая гимнастика",Практическое занятие,Постников Н.К.,9-115
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (21 284) , , , , , , , Атлетическая гимнастика",Практическое занятие,Постников Н.К.,9-115
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , . Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Салопин О.М.,9-209
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , . Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Салопин О.М.,9-209
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Тарасова А.А.,9-102
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Тарасова А.А.,9-102
472_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Тарасова А.А.,9-102
