Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
517_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,Общая группа,Математика,Практическое занятие,Крутиков А.К.,2-303
517_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,01 подгруппа,Математика,Практическое занятие,Крутиков А.К.,2-303
517_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,02 подгруппа,Математика,Практическое занятие,Крутиков А.К.,2-303
517_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,03 подгруппа,Математика,Практическое занятие,Крутиков А.К.,2-303
517_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,Общая группа,Математика,Практическое занятие,Крутиков А.К.,2-303
517_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,01 подгруппа,Математика,Практическое занятие,Крутиков А.К.,2-303
517_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,02 подгруппа,Математика,Практическое занятие,Крутиков А.К.,2-303
517_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,03 подгруппа,Математика,Практическое занятие,Крутиков А.К.,2-303
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,03 подгруппа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
