Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
476_1_25052026_07062026.html,25.05.26,понедельник,08:20-09:50,Общая группа,Современные славянские языки и культуры,Практическое занятие,Колесникова О.И.,14-331
476_1_25052026_07062026.html,25.05.26,понедельник,08:20-09:50,01 подгруппа,Современные славянские языки и культуры,Практическое занятие,Колесникова О.И.,14-331
476_1_25052026_07062026.html,25.05.26,понедельник,08:20-09:50,02 подгруппа,Современные славянские языки и культуры,Практическое занятие,Колесникова О.И.,14-331
476_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,Общая группа,Профессиональные коммуникации,Практическое занятие,Злобин А.А.,14-316
476_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,01 подгруппа,Профессиональные коммуникации,Практическое занятие,Злобин А.А.,14-316
476_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,02 подгруппа,Профессиональные коммуникации,Практическое занятие,Злобин А.А.,14-316
476_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,Общая группа,Практическая стилистика: стилистические ресурсы русского языка,Практическое занятие,Трушков М.А.,14-322
476_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,01 подгруппа,Практическая стилистика: стилистические ресурсы русского языка,Практическое занятие,Трушков М.А.,14-322
476_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,02 подгруппа,Практическая стилистика: стилистические ресурсы русского языка,Практическое занятие,Трушков М.А.,14-322
476_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Практическая стилистика: стилистические ресурсы русского языка,Практическое занятие,Трушков М.А.,14-322
476_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,Практическая стилистика: стилистические ресурсы русского языка,Практическое занятие,Трушков М.А.,14-322
476_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Практическая стилистика: стилистические ресурсы русского языка,Практическое занятие,Трушков М.А.,14-322
