Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
503_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,Общая группа,Инженерная графика,Лабораторная работа,Кувалдин Ю.И.,10-200
503_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,02 подгруппа,Инженерная графика,Лабораторная работа,Кувалдин Ю.И.,10-200
503_1_25052026_07062026.html,26.05.26,вторник,14:00-15:30,Общая группа,Инженерная графика,Лабораторная работа,Кувалдин Ю.И.,10-200
503_1_25052026_07062026.html,26.05.26,вторник,14:00-15:30,02 подгруппа,Инженерная графика,Лабораторная работа,Кувалдин Ю.И.,10-200
504_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,Общая группа,Моделирование объектов и процессов в машиностроении,Лабораторная работа,Маринин Е.А.,10-206
504_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,01 подгруппа,Моделирование объектов и процессов в машиностроении,Лабораторная работа,Маринин Е.А.,10-206
504_1_25052026_07062026.html,26.05.26,вторник,14:00-15:30,Общая группа,Моделирование объектов и процессов в машиностроении,Лабораторная работа,Маринин Е.А.,10-206
504_1_25052026_07062026.html,26.05.26,вторник,14:00-15:30,01 подгруппа,Моделирование объектов и процессов в машиностроении,Лабораторная работа,Маринин Е.А.,10-206
969_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,Общая группа,Физика,Практическое занятие,Перевощиков Д.В.,6-204
969_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,01 подгруппа,Физика,Практическое занятие,Перевощиков Д.В.,6-204
969_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,02 подгруппа,Физика,Практическое занятие,Перевощиков Д.В.,6-204
969_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,03 подгруппа,Физика,Практическое занятие,Перевощиков Д.В.,6-204
