Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
429_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,Общая группа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,01 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,02 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,03 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,Общая группа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,01 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,02 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,03 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
889_1_25052026_07062026.html,27.05.26,среда,08:20-09:50,Общая группа,Математика,Лекция,Чупраков Д.В.,2-103
889_1_25052026_07062026.html,27.05.26,среда,08:20-09:50,01 подгруппа,Математика,Лекция,Чупраков Д.В.,2-103
889_1_25052026_07062026.html,27.05.26,среда,08:20-09:50,02 подгруппа,Математика,Лекция,Чупраков Д.В.,2-103
889_1_25052026_07062026.html,27.05.26,среда,08:20-09:50,03 подгруппа,Математика,Лекция,Чупраков Д.В.,2-103
889_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,Общая группа,Математика,Практическое занятие,Чупраков Д.В.,2-103
889_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,01 подгруппа,Математика,Практическое занятие,Чупраков Д.В.,2-103
889_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,02 подгруппа,Математика,Практическое занятие,Чупраков Д.В.,2-103
889_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,03 подгруппа,Математика,Практическое занятие,Чупраков Д.В.,2-103
