Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
513_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,Общая группа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
513_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,01 подгруппа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
513_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,02 подгруппа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
513_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,03 подгруппа,Основы экономико-математического моделирования,Практическое занятие,Фалалеев А.В.,14-201
513_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,Общая группа,Экономическая теория,Лекция,Петров И.Е.,14-338
513_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,01 подгруппа,Экономическая теория,Лекция,Петров И.Е.,14-338
513_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,02 подгруппа,Экономическая теория,Лекция,Петров И.Е.,14-338
513_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,03 подгруппа,Экономическая теория,Лекция,Петров И.Е.,14-338
513_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,Общая группа,Экономическая теория,Практическое занятие,Петров И.Е.,16-313
513_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,01 подгруппа,Экономическая теория,Практическое занятие,Петров И.Е.,16-313
513_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,02 подгруппа,Экономическая теория,Практическое занятие,Петров И.Е.,16-313
513_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,03 подгруппа,Экономическая теория,Практическое занятие,Петров И.Е.,16-313
