Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
447_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,Общая группа,География почв с основами почвоведения,Лекция,Носова Н.В.,15-309
447_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,01 подгруппа,География почв с основами почвоведения,Лекция,Носова Н.В.,15-309
447_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,02 подгруппа,География почв с основами почвоведения,Лекция,Носова Н.В.,15-309
447_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,Общая группа,Общее землеведение,Лабораторная работа,Алалыкина И.Ю.,15-315
447_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,02 подгруппа,Общее землеведение,Лабораторная работа,Алалыкина И.Ю.,15-315
447_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,Общая группа,География почв с основами почвоведения,Лабораторная работа,Носова Н.В.,15-302
447_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,01 подгруппа,География почв с основами почвоведения,Лабораторная работа,Носова Н.В.,15-302
447_1_25052026_07062026.html,28.05.26,четверг,15:45-17:15,Общая группа,Общее землеведение,Лабораторная работа,Алалыкина И.Ю.,15-315
447_1_25052026_07062026.html,28.05.26,четверг,15:45-17:15,02 подгруппа,Общее землеведение,Лабораторная работа,Алалыкина И.Ю.,15-315
447_1_25052026_07062026.html,28.05.26,четверг,15:45-17:15,Общая группа,География почв с основами почвоведения,Лабораторная работа,Носова Н.В.,15-302
447_1_25052026_07062026.html,28.05.26,четверг,15:45-17:15,01 подгруппа,География почв с основами почвоведения,Лабораторная работа,Носова Н.В.,15-302
