Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
478_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,Общая группа,"Профессионально-творческие мастерские Защита курсовых проектов , , Профессионально-творческие мастерские Защита курсовых проектов",Не указан,Малышева Н.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,01 подгруппа,"Профессионально-творческие мастерские Защита курсовых проектов , , Профессионально-творческие мастерские Защита курсовых проектов",Не указан,Малышева Н.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,02 подгруппа,"Профессионально-творческие мастерские Защита курсовых проектов , , Профессионально-творческие мастерские Защита курсовых проектов",Не указан,Малышева Н.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,Общая группа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Кузьмина М.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,01 подгруппа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Кузьмина М.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,02 подгруппа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Кузьмина М.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,Общая группа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Булдакова Ю.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,01 подгруппа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Булдакова Ю.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,02 подгруппа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Булдакова Ю.В.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,Общая группа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Ермолин В.М.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,01 подгруппа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Ермолин В.М.,14-308
478_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,02 подгруппа,Профессионально-творческие мастерские Защита курсовых проектов,Не указан,Ермолин В.М.,14-308
