Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
482_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,Общая группа,Иностранный язык,Практическое занятие,Шалагинова Е.А.,1-222
482_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,01 подгруппа,Иностранный язык,Практическое занятие,Шалагинова Е.А.,1-222
482_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,02 подгруппа,Иностранный язык,Практическое занятие,Шалагинова Е.А.,1-222
482_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,03 подгруппа,Иностранный язык,Практическое занятие,Шалагинова Е.А.,1-222
924_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,Общая группа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,01 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,02 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,03 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,Общая группа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,01 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,02 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,03 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
