Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
485_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,Общая группа,Биохимия,Лекция,Логинова М.А.,1-128
485_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,01 подгруппа,Биохимия,Лекция,Логинова М.А.,1-128
485_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,02 подгруппа,Биохимия,Лекция,Логинова М.А.,1-128
485_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,03 подгруппа,Биохимия,Лекция,Логинова М.А.,1-128
485_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,Общая группа,Биохимия,Практическое занятие,Логинова М.А.,1-128
485_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,01 подгруппа,Биохимия,Практическое занятие,Логинова М.А.,1-128
485_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,02 подгруппа,Биохимия,Практическое занятие,Логинова М.А.,1-128
485_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,03 подгруппа,Биохимия,Практическое занятие,Логинова М.А.,1-128
498_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,Общая группа,"Безопасность жизнедеятельности , Безопасность жизнедеятельности",Лабораторная работа,Быкова В.В.,1-533
498_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,01 подгруппа,"Безопасность жизнедеятельности , Безопасность жизнедеятельности",Лабораторная работа,Быкова В.В.,1-533
498_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,02 подгруппа,"Безопасность жизнедеятельности , Безопасность жизнедеятельности",Лабораторная работа,Быкова В.В.,1-533
498_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,Общая группа,"Безопасность жизнедеятельности , Безопасность жизнедеятельности",Лабораторная работа,Быкова В.В.,1-533
498_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,01 подгруппа,"Безопасность жизнедеятельности , Безопасность жизнедеятельности",Лабораторная работа,Быкова В.В.,1-533
498_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,02 подгруппа,"Безопасность жизнедеятельности , Безопасность жизнедеятельности",Лабораторная работа,Быкова В.В.,1-533
