Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ППНа-2901-01-00.pdf,01.01.00,суббота,10:00-11:30,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_ППНа-2901-01-00.pdf,01.01.00,суббота,11:45-13:15,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_ППНа-2901-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Актуальные проблемы административной ответственности Зачет,Не указан,Кононов П.И.,13-513
сессия_ППНа-2901-01-00.pdf,15.06.26,понедельник,10:00-11:30,Общая группа,Публично-правовые (государственно-правовые) науки Консультация,Не указан,Кононов П.И.,13-513
сессия_ППНа-2901-01-00.pdf,15.06.26,понедельник,10:00-11:30,Общая группа,Публично-правовые (государственно-правовые) науки Кандидатский экзамен,Не указан,Домрачев Д.Г.,13-513
сессия_ППНа-2901-01-00.pdf,15.06.26,понедельник,10:00-11:30,Общая группа,Публично-правовые (государственно-правовые) науки Кандидатский экзамен,Не указан,Кирилловых А.А.,13-513
сессия_ППНа-2901-01-00.pdf,15.06.26,понедельник,10:00-11:30,Общая группа,Публично-правовые (государственно-правовые) науки Кандидатский экзамен,Не указан,Кононов П.И.,13-513
сессия_ППНа-2901-01-00.pdf,15.06.26,понедельник,10:00-11:30,Общая группа,Публично-правовые (государственно-правовые) науки Кандидатский экзамен,Не указан,Мамаева А.Н.,13-513
сессия_ППНа-2901-01-00.pdf,15.06.26,понедельник,11:45-13:15,Общая группа,Публично-правовые (государственно-правовые) науки Кандидатский экзамен,Не указан,Кононов П.И.,13-513
сессия_ППНа-2901-01-00.pdf,23.06.26,вторник,14:00-15:30,Общая группа,Технология подготовки и продвижения научных публикаций Зачет 1,Не указан,Динер Е.В.,13-513
сессия_ППНа-2901-01-00.pdf,26.06.26,пятница,08:20-09:50,Общая группа,Научный компонент Зачет по НИ,Не указан,Домрачев Д.Г.,13-511
