Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26837_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,Физико-географическое и ландшафтное районирование,Лекция,Матушкин А.С.,15-305
26837_1_01092026_13092026.pdf,01.09.26,вторник,18:55-20:25,Общая группа,Физико-географическое и ландшафтное районирование,Лекция,Матушкин А.С.,15-305
26837_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Культурное ландшафтное районирование,Лекция,Прокашев А.М.,15-324
26837_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Культурное ландшафтное районирование,Лекция,Прокашев А.М.,15-324
26837_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Основы этнокультурного ландшафтоведения,Лекция,Прокашев А.М.,15-324
26837_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Основы этнокультурного ландшафтоведения,Лекция,Прокашев А.М.,15-324
26837_1_01092026_13092026.pdf,05.09.26,суббота,14:00-15:30,Общая группа,Антропогенное ландшафтоведение,Лекция,Прокашев А.М.,15-309
26837_1_01092026_13092026.pdf,05.09.26,суббота,15:45-17:15,Общая группа,Антропогенное ландшафтоведение,Лекция,Прокашев А.М.,15-309
26837_1_01092026_13092026.pdf,07.09.26,понедельник,17:20-18:50,Общая группа,Основы этнокультурного ландшафтоведения,Практическое занятие,Прокашев А.М.,15-324
26837_1_01092026_13092026.pdf,07.09.26,понедельник,18:55-20:25,Общая группа,Основы этнокультурного ландшафтоведения,Практическое занятие,Прокашев А.М.,15-324
26837_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Физико-географическое и ландшафтное районирование,Практическое занятие,Матушкин А.С.,15-304
26837_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Физико-географическое и ландшафтное районирование,Практическое занятие,Матушкин А.С.,15-304
26837_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Антропогенное ландшафтоведение,Практическое занятие,Прокашев А.М.,15-324
26837_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Антропогенное ландшафтоведение,Практическое занятие,Прокашев А.М.,15-324
