Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26835_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Тарасова А.А.,19-206
26835_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Полубоярцев С.А.,14-106
26835_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
26835_1_01092026_13092026.pdf,01.09.26,вторник,14:00-15:30,Общая группа,Деловой этикет и деловое общение,Лекция,Федяева А.Ф.,14-334
26835_1_01092026_13092026.pdf,01.09.26,вторник,15:45-17:15,Общая группа,Коммуникационный менеджмент,Лекция,Федяева А.Ф.,14-334
26835_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Профессионально-творческие мастерские,Практическое занятие,Чепайкина С.Ю.,14-322
26835_1_01092026_13092026.pdf,02.09.26,среда,15:45-17:15,Общая группа,Профессионально-творческие мастерские,Практическое занятие,Чепайкина С.Ю.,14-322
26835_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,Социология коммуникаций,Лекция,Мосунова Л.А.,14-322
26835_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Логика и аргументация,Лекция,Мосунова Л.А.,14-322
26835_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,Социология коммуникаций,Практическое занятие,Москвин А.С.,14-335
26835_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,Социология коммуникаций,Практическое занятие,Москвин А.С.,14-335
26835_1_01092026_13092026.pdf,04.09.26,пятница,14:00-15:30,Общая группа,Журналистика данных,Лекция,Банников И.К.,1-236
26835_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Деловой этикет и деловое общение,Практическое занятие,Малышева Н.В.,14-335
26835_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Деловой этикет и деловое общение,Практическое занятие,Малышева Н.В.,14-335
26835_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,Современное искусство,Лекция,Дождевых С.М.,14-332
26835_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Тарасова А.А.,19-206
26835_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Полубоярцев С.А.,14-106
26835_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
26835_1_01092026_13092026.pdf,08.09.26,вторник,14:00-15:30,Общая группа,Коммуникационный менеджмент,Лекция,Федяева А.Ф.,14-329
26835_1_01092026_13092026.pdf,09.09.26,среда,08:20-09:50,Общая группа,Профессионально-творческие мастерские,Практическое занятие,Чепайкина С.Ю.,14-322
26835_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Социология коммуникаций,Лекция,Мосунова Л.А.,14-319
26835_1_01092026_13092026.pdf,10.09.26,четверг,11:45-13:15,Общая группа,Логика и аргументация,Практическое занятие,Мосунова Л.А.,14-328
26835_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,Коммуникационный менеджмент,Практическое занятие,Малышева Н.В.,14-335
26835_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,Общая группа,Журналистика данных,Практическое занятие,Банников И.К.,1-236
26835_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,Журналистика данных,Практическое занятие,Банников И.К.,1-236
26835_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,Мастерство ведущего,Лекция,Ермолин В.М.,14-316
26835_1_01092026_13092026.pdf,11.09.26,пятница,15:45-17:15,Общая группа,Мастерство ведущего,Практическое занятие,Ермолин В.М.,14-316
