Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27039_1_01092026_13092026.pdf,01.09.26,вторник,08:20-09:50,Общая группа,Организационное собрание,Не указан,Репкин Д.А.,2-209
27039_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,Общая группа,Организационное собрание,Не указан,Репкин Д.А.,2-209
27039_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,Общая группа,Организационное собрание,Не указан,Репкин Д.А.,2-209
27039_1_01092026_13092026.pdf,02.09.26,среда,11:45-13:15,Общая группа,Информатика,Лекция,Наумович Т.В.,1-128
27039_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,История России,Практическое занятие,Садаков Д.А.,2-403
27039_1_01092026_13092026.pdf,02.09.26,среда,15:45-17:15,Общая группа,Физическая культура и спорт,Лекция,Пластинина В.Б.,1-128
27039_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Основы российской государственности,Лекция,Садыкова М.В.,1-128
27039_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,02 подгруппа,Физическая культура и спорт,Практическое занятие,Хвостенко С.Ю.,9-101
27039_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,03 подгруппа,Физическая культура и спорт,Практическое занятие,Попова Н.Ю.,9-101
27039_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,01 подгруппа,Физическая культура и спорт,Практическое занятие,Трушкова Е.Л.,9-102
27039_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,Иностранный язык,Практическое занятие,Юрлова О.А.,2-407
27039_1_01092026_13092026.pdf,04.09.26,пятница,14:00-15:30,Общая группа,Физика,Лекция,Хлебов А.Г.,1-439
27039_1_01092026_13092026.pdf,05.09.26,суббота,08:20-09:50,Общая группа,Физика,Лабораторная работа,Хлебов А.Г.,14-303
27039_1_01092026_13092026.pdf,05.09.26,суббота,10:00-11:30,Общая группа,Физика,Лабораторная работа,Хлебов А.Г.,14-303
27039_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Документоведение,Лекция,Епифанов П.С.,2-209
27039_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,История России,Лекция,Садаков Д.А.,1-128
27039_1_01092026_13092026.pdf,08.09.26,вторник,08:20-09:50,Общая группа,Математика,Практическое занятие,Хохлова М.В.,2-206
27039_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,Основы российской государственности,Практическое занятие,Садыкова М.В.,2-408
27039_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,Математика,Лекция,Хохлова М.В.,1-242
27039_1_01092026_13092026.pdf,08.09.26,вторник,14:00-15:30,Общая группа,Информатика,Лекция,Наумович Т.В.,2-209
27039_1_01092026_13092026.pdf,09.09.26,среда,10:00-11:30,Общая группа,Введение в профессию,Лекция,Ржаникова Е.Д.,1-534
27039_1_01092026_13092026.pdf,09.09.26,среда,11:45-13:15,Общая группа,Введение в профессию в рамках практической подготовки,Практическое занятие,Ржаникова Е.Д.,1-534
27039_1_01092026_13092026.pdf,09.09.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Наумович Т.В.,3-105
27039_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Документоведение,Лабораторная работа,Епифанов П.С.,3-206
27039_1_01092026_13092026.pdf,10.09.26,четверг,11:45-13:15,Общая группа,Документоведение,Лабораторная работа,Епифанов П.С.,3-206
27039_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,02 подгруппа,Физическая культура и спорт,Практическое занятие,Хвостенко С.Ю.,9-101
27039_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,03 подгруппа,Физическая культура и спорт,Практическое занятие,Попова Н.Ю.,9-101
27039_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,01 подгруппа,Физическая культура и спорт,Практическое занятие,Трушкова Е.Л.,9-102
27039_1_01092026_13092026.pdf,11.09.26,пятница,08:20-09:50,Общая группа,Физика,Практическое занятие,Хлебов А.Г.,2-303
27039_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,Общая группа,Математика,Практическое занятие,Хохлова М.В.,3-101
27039_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,Иностранный язык,Практическое занятие,Юрлова О.А.,2-407
27039_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Юрлова О.А.,2-407
27039_1_01092026_13092026.pdf,12.09.26,суббота,11:45-13:15,Общая группа,Информатика,Лабораторная работа,Голубева В.С.,3-203
27039_1_01092026_13092026.pdf,12.09.26,суббота,14:00-15:30,Общая группа,Информатика,Лабораторная работа,Голубева В.С.,3-203
