Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26950_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,История российской науки,Лекция,Рыжов Н.Л.,14-214
26950_1_01092026_13092026.pdf,01.09.26,вторник,18:55-20:25,Общая группа,История российской науки,Практическое занятие,Рыжов Н.Л.,14-214
26950_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Международные отношения в Европе и Северной Америке в новое и новейшее время,Лекция,Ильин Д.В.,14-219
26950_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Международные отношения в Европе и Северной Америке в новое и новейшее время,Практическое занятие,Ильин Д.В.,14-219
26950_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Политическая история СССР,Лекция,Тарасов К.Н.,14-214
26950_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Политическая история СССР,Практическое занятие,Тарасов К.Н.,14-214
26950_1_01092026_13092026.pdf,05.09.26,суббота,08:20-09:50,Общая группа,Российский консерватизм XIX - начала ХХ века: идеология и практика,Лекция,Тарасов К.Н.,14-214
26950_1_01092026_13092026.pdf,05.09.26,суббота,10:00-11:30,Общая группа,Российский консерватизм XIX - начала ХХ века: идеология и практика,Практическое занятие,Тарасов К.Н.,14-214
26950_1_01092026_13092026.pdf,05.09.26,суббота,11:45-13:15,Общая группа,Российский консерватизм XIX - начала ХХ века: идеология и практика,Практическое занятие,Тарасов К.Н.,14-214
26950_1_01092026_13092026.pdf,07.09.26,понедельник,17:20-18:50,Общая группа,Международные отношения в Европе и Северной Америке в новое и новейшее время,Лекция,Ильин Д.В.,14-221
26950_1_01092026_13092026.pdf,07.09.26,понедельник,18:55-20:25,Общая группа,Международные отношения в Европе и Северной Америке в новое и новейшее время,Практическое занятие,Ильин Д.В.,14-221
26950_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,История российской науки,Лекция,Рыжов Н.Л.,14-214
26950_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,История российской науки,Практическое занятие,Рыжов Н.Л.,14-214
26950_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Политика сверхдержав на Ближнем и Дальнем Востоке во второй половине XX века,Лекция,Калинин А.А.,14-208
26950_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Политика сверхдержав на Ближнем и Дальнем Востоке во второй половине XX века,Практическое занятие,Калинин А.А.,14-208
26950_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Политическая история СССР,Лекция,Тарасов К.Н.,14-214
26950_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Политическая история СССР,Практическое занятие,Тарасов К.Н.,14-214
