Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26317_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Пластинина В.Б.,9-208
26317_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Салопин О.М.,9-301
26317_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
26317_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Практическое занятие,Соймонов И.А.,9-102
26317_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Пластинина В.Б.,9-208
26317_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
26317_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Хвостенко С.Ю.,9-101
26317_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,Общая группа,Физика,Практическое занятие,Позолотин А.П.,8-609
26317_1_01092026_13092026.pdf,01.09.26,вторник,14:00-15:30,Общая группа,Физика,Лекция,Позолотин А.П.,8-609
26317_1_01092026_13092026.pdf,01.09.26,вторник,15:45-17:15,Общая группа,Теоретическая механика,Лекция,Левашов А.П.,6-204
26317_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Экономика,Лекция,Куклин А.В.,2-209
26317_1_01092026_13092026.pdf,02.09.26,среда,15:45-17:15,Общая группа,Экономика,Лекция,Куклин А.В.,2-209
26317_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,Математические основы теории систем,Лекция,Сластихин Н.С.,7-013
26317_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Компьютерные технологии,Лекция,Грудинин В.С.,7-013
26317_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,01 подгруппа,Компьютерные технологии,Лабораторная работа,Грудинин В.С.,7-008
26317_1_01092026_13092026.pdf,03.09.26,четверг,15:45-17:15,01 подгруппа,Компьютерные технологии,Лабораторная работа,Грудинин В.С.,7-008
26317_1_01092026_13092026.pdf,04.09.26,пятница,08:20-09:50,Общая группа,Правовая грамотность,Практическое занятие,Кушова И.А.,8-607
26317_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,Математика,Лекция,Панкратова Л.В.,8-603
26317_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,История России,Лекция,Половникова М.Ю.,1-242
26317_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,История России,Практическое занятие,Половникова М.Ю.,1-313
26317_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,Технологии социального и профессионального взаимодействия,Лекция,Савватеева М.С.,1-312
26317_1_01092026_13092026.pdf,07.09.26,понедельник,15:45-17:15,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Савватеева М.С.,1-312
26317_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Пластинина В.Б.,9-208
26317_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Салопин О.М.,9-301
26317_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
26317_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Практическое занятие,Соймонов И.А.,9-102
26317_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Пластинина В.Б.,9-208
26317_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
26317_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Хвостенко С.Ю.,9-101
