Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26711_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,Общая группа,История России,Лекция,Сенников А.И.,1-439
26711_1_01092026_13092026.pdf,02.09.26,среда,08:20-09:50,Общая группа,Цифровые технологии машиностроительного производства,Лекция,Грачев С.П.,10-214
26711_1_01092026_13092026.pdf,02.09.26,среда,10:00-11:30,Общая группа,Методы расчета и инженерного анализа технических систем,Лекция,Чернявский В.Б.,10-214
26711_1_01092026_13092026.pdf,03.09.26,четверг,15:45-17:15,Общая группа,История России,Лекция,Сенников А.И.,1-128
26711_1_01092026_13092026.pdf,03.09.26,четверг,17:20-18:50,Общая группа,История России,Практическое занятие,Сенников А.И.,1-516
26711_1_01092026_13092026.pdf,03.09.26,четверг,18:55-20:25,Общая группа,Основы российского законодательства,Практическое занятие,Кушова И.А.,1-514
26711_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Трушкова Е.Л.,9-102
26711_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Соймонов И.А.,9-102
26711_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 128),Практическое занятие,Подковырин В.Д.,19-301
26711_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Ромашов А.Ю.,9-115
26711_1_01092026_13092026.pdf,04.09.26,пятница,14:00-15:30,Общая группа,Теория механизмов и машин,Лекция,Удалов А.В.,1-534
26711_1_01092026_13092026.pdf,04.09.26,пятница,15:45-17:15,Общая группа,Сопротивление материалов,Лекция,Козлов В.А.,1-534
26711_1_01092026_13092026.pdf,05.09.26,суббота,11:45-13:15,Общая группа,Экономика,Лекция,Набоких А.А.,2-209
26711_1_01092026_13092026.pdf,05.09.26,суббота,14:00-15:30,Общая группа,Основы российского законодательства,Лекция,Кушова И.А.,2-209
26711_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Экономика,Практическое занятие,Набоких А.А.,2-403
26711_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,Сопротивление материалов,Лабораторная работа,Козлов В.А.,1-100а
26711_1_01092026_13092026.pdf,07.09.26,понедельник,15:45-17:15,Общая группа,Сопротивление материалов,Лабораторная работа,Козлов В.А.,1-100а
26711_1_01092026_13092026.pdf,08.09.26,вторник,08:20-09:50,Общая группа,История России,Лекция,Сенников А.И.,1-439
26711_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,Технология конструкционных материалов,Лекция,Плюснин Е.С.,1-242
26711_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,Сопротивление материалов,Лекция,Козлов В.А.,1-439
26711_1_01092026_13092026.pdf,08.09.26,вторник,14:00-15:30,Общая группа,Сопротивление материалов,Практическое занятие,Козлов В.А.,1-315
26711_1_01092026_13092026.pdf,09.09.26,среда,08:20-09:50,Общая группа,Теория механизмов и машин,Практическое занятие,Удалов А.В.,1-436
26711_1_01092026_13092026.pdf,09.09.26,среда,10:00-11:30,Общая группа,Теория механизмов и машин,Лабораторная работа,Удалов А.В.,1-436
26711_1_01092026_13092026.pdf,09.09.26,среда,11:45-13:15,Общая группа,Теория механизмов и машин,Лабораторная работа,Удалов А.В.,1-436
26711_1_01092026_13092026.pdf,10.09.26,четверг,08:20-09:50,Общая группа,Методы расчета и инженерного анализа технических систем,Практическое занятие,Чернявский В.Б.,10-205
26711_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Методы расчета и инженерного анализа технических систем,Практическое занятие,Чернявский В.Б.,10-205
26711_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Трушкова Е.Л.,9-102
26711_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Соймонов И.А.,9-102
26711_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 128),Практическое занятие,Подковырин В.Д.,19-301
26711_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Ромашов А.Ю.,9-115
26711_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,Цифровые технологии машиностроительного производства,Лабораторная работа,Грачев С.П.,10-206
26711_1_01092026_13092026.pdf,11.09.26,пятница,15:45-17:15,Общая группа,Цифровые технологии машиностроительного производства,Лабораторная работа,Грачев С.П.,10-206
