Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26465_1_01092026_13092026.pdf,01.09.26,вторник,08:20-09:50,Общая группа,Технологии профессионального самоопределения молодежи,Лекция,Воронина О.А.,14-331
26465_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,Общая группа,Технологии профессионального самоопределения молодежи,Практическое занятие,Воронина О.А.,14-331
26465_1_01092026_13092026.pdf,02.09.26,среда,11:45-13:15,Общая группа,Документационное обеспечение работы с молодежью,Лекция,Ананин П.В.,17-457
26465_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Документационное обеспечение работы с молодежью,Лекция,Ананин П.В.,14-324
26465_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,Социальные технологии работы с молодежью,Лекция,Лучинина М.И.,14-331
26465_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Социальные технологии работы с молодежью,Практическое занятие,Лучинина М.И.,14-331
26465_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,Общая группа,Социальные технологии работы с молодежью,Практическое занятие,Лучинина М.И.,14-218
26465_1_01092026_13092026.pdf,04.09.26,пятница,08:20-09:50,Общая группа,Менеджмент в молодежной политике,Лекция,Волченкова Е.В.,14-233
26465_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,Менеджмент в молодежной политике,Практическое занятие,Волченкова Е.В.,14-233
26465_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,Менеджмент в молодежной политике,Практическое занятие,Волченкова Е.В.,14-218
26465_1_01092026_13092026.pdf,07.09.26,понедельник,08:20-09:50,Общая группа,Организация межсекторного взаимодействия и PR в сфере молодежной политики,Лекция,Волченкова Е.В.,14-202
26465_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Организация межсекторного взаимодействия и PR в сфере молодежной политики,Практическое занятие,Волченкова Е.В.,14-202
26465_1_01092026_13092026.pdf,08.09.26,вторник,08:20-09:50,Общая группа,Методы комплексного исследования и оценки положения молодежи в обществе,Лекция,Воронина О.А.,14-233
26465_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,Методы комплексного исследования и оценки положения молодежи в обществе,Практическое занятие,Воронина О.А.,14-233
26465_1_01092026_13092026.pdf,10.09.26,четверг,08:20-09:50,Общая группа,Технологии профессионального самоопределения молодежи,Лекция,Воронина О.А.,14-233
26465_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Технологии профессионального самоопределения молодежи,Практическое занятие,Воронина О.А.,14-233
26465_1_01092026_13092026.pdf,10.09.26,четверг,11:45-13:15,Общая группа,Документационное обеспечение работы с молодежью,Практическое занятие,Ананин П.В.,21-264
26465_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,Документационное обеспечение работы с молодежью,Практическое занятие,Ананин П.В.,21-264
26465_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,Социальные технологии работы с молодежью,Лекция,Лучинина М.И.,14-247
26465_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,Социальные технологии работы с молодежью,Практическое занятие,Лучинина М.И.,14-247
