Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27114_1_01092026_13092026.pdf,01.09.26,вторник,14:00-15:30,Общая группа,Организационное собрание,Не указан,Ефимова Н.М.,14-214
27114_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,14-233
27114_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,14-233
27114_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Управление коммуникативными процессами в социальных группах,Лекция,Воронина О.А.,14-221
27114_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Управление коммуникативными процессами в социальных группах,Практическое занятие,Воронина О.А.,14-221
27114_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Управление в системе социальной защиты населения,Лекция,Бородатая М.Н.,14-233
27114_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Управление в системе социальной защиты населения,Практическое занятие,Бородатая М.Н.,14-233
27114_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Теория социальной работы с разными группами населения,Лекция,Лучинина М.И.,14-210
27114_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Теория социальной работы с разными группами населения,Практическое занятие,Лучинина М.И.,14-210
27114_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Социальная работа с мигрантами и беженцами,Лекция,Воронина О.А.,14-233
27114_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Социальная работа с мигрантами и беженцами,Практическое занятие,Воронина О.А.,14-233
