Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26862_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,Стратегии управления персоналом,Практическое занятие,Колесова Ю.А.,14-133
26862_1_01092026_13092026.pdf,07.09.26,понедельник,08:20-09:50,Общая группа,"к и н6 ь2 л 9. е д е 7. 0 н0 о п Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,07.09.26,понедельник,15:45-17:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Современный стратегический анализ (предприятий торговли),Лекция,Лысова Е.А.,14-133
26862_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Современный стратегический анализ (предприятий торговли),Практическое занятие,Лысова Е.А.,14-133
26862_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Стратегии построения эффективных систем дистрибуции,Практическое занятие,Агалакова О.С.,14-143
26862_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Стратегии построения эффективных систем дистрибуции,Практическое занятие,Агалакова О.С.,14-143
26862_1_01092026_13092026.pdf,11.09.26,пятница,08:20-09:50,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_01092026_13092026.pdf,11.09.26,пятница,15:45-17:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
