Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26541_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,Процессуальные решения в уголовном судопроизводстве,Лекция,Коновалова А.Б.,13-508
26541_1_01092026_13092026.pdf,01.09.26,вторник,18:55-20:25,Общая группа,Процессуальные решения в уголовном судопроизводстве,Практическое занятие,Коновалова А.Б.,13-508
26541_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Квалификация преступлений против личности,Лекция,Мартьянова С.А.,13-610
26541_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Квалификация преступлений против личности,Практическое занятие,Мартьянова С.А.,13-610
26541_1_01092026_13092026.pdf,03.09.26,четверг,17:20-18:50,Общая группа,Судебная защита публичных прав и интересов,Лекция,Плотников Д.А.,13-608
26541_1_01092026_13092026.pdf,03.09.26,четверг,18:55-20:25,Общая группа,Судебная защита публичных прав и интересов,Практическое занятие,Плотников Д.А.,13-608
26541_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Теория квалификации преступлений,Лекция,Рогова Н.Н.,13-513
26541_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Теория квалификации преступлений,Практическое занятие,Рогова Н.Н.,13-513
26541_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Тактика и методика расследования преступлений,Лекция,Мартьянова С.А.,13-610
26541_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Тактика и методика расследования преступлений,Практическое занятие,Мартьянова С.А.,13-610
