Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27135_1_01092026_13092026.pdf,02.09.26,среда,08:20-09:50,Общая группа,Логика,Лекция,Бурдина Е.С.,13-105
27135_1_01092026_13092026.pdf,02.09.26,среда,10:00-11:30,Общая группа,История государства и права России,Лекция,Семено А.В.,13-105
27135_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,История России,Лекция,Бакшаев М.В.,13-105
27135_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Теория государства и права,Лекция,Зырянова А.В.,13-105
27135_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,История России,Лекция,Бакшаев М.В.,13-111
27135_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Основы российской государственности,Лекция,Плотникова Г.Н.,13-111
27135_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,02 подгруппа,Иностранный язык,Практическое занятие,Макаров А.Н.,1-227
27135_1_01092026_13092026.pdf,07.09.26,понедельник,15:45-17:15,02 подгруппа,Иностранный язык,Практическое занятие,Макаров А.Н.,1-227
27135_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,Профессиональная этика,Лекция,Кушова И.А.,13-111
27135_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,Информационные технологии в юридической деятельности,Лекция,Шешуков А.Ю.,13-111
27135_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,История России,Лекция,Бакшаев М.В.,13-111
