Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_АФКб-3701-51-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Технологии физкультурно-спортивной деятельности в адаптивной физической культуре Зачет,Не указан,Овсянникова Е.Ю.,19-257
сессия_АФКб-3701-51-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Технологии физкультурно-спортивной деятельности в адаптивной физической культуре Зачет,Не указан,Овсянникова Е.Ю.,19-257
сессия_АФКб-3701-51-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет,Не указан,Багина И.С.,19-259
сессия_АФКб-3701-51-00.pdf,12.01.26,понедельник,08:20-09:50,Общая группа,Базовые виды двигательной деятельности и методики обучения: спортивные игры Зачет,Не указан,Чайка А.И.,19-257
сессия_АФКб-3701-51-00.pdf,13.01.26,вторник,08:20-09:50,Общая группа,Теория и методика адаптивной физической культуры в дошкольных образовательных учреждениях Зачет,Не указан,Кособрюхова Н.В.,19-258
сессия_АФКб-3701-51-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Теория и методика адаптивной физической культуры в дошкольных образовательных учреждениях Зачет,Не указан,Кособрюхова Н.В.,19-258
сессия_АФКб-3701-51-00.pdf,15.01.26,четверг,08:20-09:50,Общая группа,Основы экономики и менеджмента в сфере физической культуры и спорта Консультация,Не указан,Клецко А.Н.,19-257
сессия_АФКб-3701-51-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Основы экономики и менеджмента в сфере физической культуры и спорта Экзамен,Не указан,Клецко А.Н.,19-257
сессия_АФКб-3701-51-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Основы экономики и менеджмента в сфере физической культуры и спорта Экзамен,Не указан,Клецко А.Н.,19-257
сессия_АФКб-3701-51-00.pdf,16.01.26,пятница,11:45-13:15,Общая группа,Теория и методика физической культуры и спорта Консультация,Не указан,Попереков В.С.,19-257
сессия_АФКб-3701-51-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,к и н6 ь2 л 1. е д е 9. 0 н1 о п Теория и методика физической культуры и спорта Экзамен,Не указан,Попереков В.С.,19-257
сессия_АФКб-3701-51-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Теория и методика физической культуры и спорта Экзамен,Не указан,Попереков В.С.,19-257
сессия_АФКб-3701-51-00.pdf,22.01.26,четверг,08:20-09:50,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями Консультация,Не указан,Кадочникова Н.И.,19-179
сессия_АФКб-3701-51-00.pdf,23.01.26,пятница,08:20-09:50,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями Экзамен,Не указан,Кадочникова Н.И.,19-179
сессия_АФКб-3701-51-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями Экзамен,Не указан,Кадочникова Н.И.,19-179
сессия_АФКб-3701-51-00.pdf,23.01.26,пятница,11:45-13:15,Общая группа,Врачебный контроль в адаптивной физической культуре Консультация,Не указан,Беспятых О.Ю.,19-258
сессия_АФКб-3701-51-00.pdf,26.01.26,понедельник,10:00-11:30,Общая группа,Врачебный контроль в адаптивной физической культуре Экзамен,Не указан,Беспятых О.Ю.,19-258
сессия_АФКб-3701-51-00.pdf,26.01.26,понедельник,11:45-13:15,Общая группа,Врачебный контроль в адаптивной физической культуре Экзамен,Не указан,Беспятых О.Ю.,19-258
