Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_БТб-3101-03-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Производственный менеджмент Зачет,Не указан,Грабар А.А.,1-435
сессия_БТб-3101-03-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Производственный менеджмент Зачет,Не указан,Грабар А.А.,1-435
сессия_БТб-3101-03-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Физическая химия Зачет,Не указан,Лундовских И.А.,1-118
сессия_БТб-3101-03-00.pdf,10.01.26,суббота,11:45-13:15,Общая группа,Физическая химия Зачет,Не указан,Лундовских И.А.,1-118
сессия_БТб-3101-03-00.pdf,12.01.26,понедельник,14:00-15:30,Общая группа,Коллоидная химия Зачет,Не указан,Ахмаров Ф.И.,1-530
сессия_БТб-3101-03-00.pdf,12.01.26,понедельник,15:45-17:15,Общая группа,Коллоидная химия Зачет,Не указан,Ахмаров Ф.И.,1-530
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Нормативно-правовые аспекты регулирования оборота лекарственных средств Зачет,Не указан,Старкова Е.В.,1-435
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Нормативно-правовые аспекты регулирования оборота лекарственных средств Зачет,Не указан,Старкова Е.В.,1-435
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,14:00-15:30,Общая группа,Философия Зачет,Не указан,Суворов Г.В.,1-236
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,15:45-17:15,Общая группа,Философия Зачет,Не указан,Суворов Г.В.,1-236
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Хлусьянов О.В.,9-116
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Салопин О.М.,9-301
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Пластинина В.Б.,9-102
сессия_БТб-3101-03-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Хвостенко С.Ю.,9-101
сессия_БТб-3101-03-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Генная инженерия Консультация,Не указан,Лундовских И.А.,1-118
сессия_БТб-3101-03-00.pdf,17.01.26,суббота,10:00-11:30,Общая группа,Генная инженерия Экзамен,Не указан,Лундовских И.А.,1-118
сессия_БТб-3101-03-00.pdf,17.01.26,суббота,11:45-13:15,Общая группа,Генная инженерия Экзамен,Не указан,Лундовских И.А.,1-118
сессия_БТб-3101-03-00.pdf,19.01.26,понедельник,08:20-09:50,Общая группа,Промышленное культивирование микроорганизмов Консультация,Не указан,Шуплецова О.Н.,1-334
сессия_БТб-3101-03-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Промышленное культивирование микроорганизмов Экзамен,Не указан,Шуплецова О.Н.,1-334
сессия_БТб-3101-03-00.pdf,20.01.26,вторник,11:45-13:15,Общая группа,Промышленное культивирование микроорганизмов Экзамен,Не указан,Шуплецова О.Н.,1-334
сессия_БТб-3101-03-00.pdf,23.01.26,пятница,14:00-15:30,Общая группа,Современные физико-химические методы исследований биологически активных веществ Консультация,Не указан,Захаров А.В.,1-437
сессия_БТб-3101-03-00.pdf,24.01.26,суббота,10:00-11:30,Общая группа,Современные физико-химические методы исследований биологически активных веществ Экзамен,Не указан,Захаров А.В.,1-437
сессия_БТб-3101-03-00.pdf,24.01.26,суббота,11:45-13:15,Общая группа,Современные физико-химические методы исследований биологически активных веществ Экзамен,Не указан,Захаров А.В.,1-437
