Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ИНБс-5301-01-00.pdf,09.01.26,пятница,15:45-17:15,Общая группа,Методология научных исследований Зачет,Не указан,Частиков А.В.,3-101
сессия_ИНБс-5301-01-00.pdf,09.01.26,пятница,17:20-18:50,Общая группа,Основы анализа данных Зачет,Не указан,Прозоров Д.Е.,3-204б
сессия_ИНБс-5301-01-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Программно-аппаратные средства защиты информации Зачет,Не указан,Колупаев А.В.,3-204а
сессия_ИНБс-5301-01-00.pdf,09.01.26,пятница,15:45-17:15,Общая группа,Оборудование систем мобильной связи Зачет,Не указан,Метелев А.П.,3-204а
сессия_ИНБс-5301-01-00.pdf,14.01.26,среда,10:00-11:30,Общая группа,Цифровая обработка сигналов Консультация,Не указан,Лесников В.А.,3-204а
сессия_ИНБс-5301-01-00.pdf,15.01.26,четверг,11:45-13:15,Общая группа,Цифровая обработка сигналов Экзамен,Не указан,Лесников В.А.,3-204а
сессия_ИНБс-5301-01-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Защита информации от утечки по техническим каналам Консультация,Не указан,Корепанов А.Г.,3-207
сессия_ИНБс-5301-01-00.pdf,19.01.26,понедельник,14:00-15:30,Общая группа,Защита информации от утечки по техническим каналам Экзамен,Не указан,Корепанов А.Г.,3-205
сессия_ИНБс-5301-01-00.pdf,22.01.26,четверг,10:00-11:30,Общая группа,Сети и системы связи и средства их информационной защиты Защита курсовых проектов,Не указан,Частиков А.В.,3-206
сессия_ИНБс-5301-01-00.pdf,22.01.26,четверг,11:45-13:15,Общая группа,Сети и системы связи и средства их информационной защиты Консультация,Не указан,Частиков А.В.,3-206
сессия_ИНБс-5301-01-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Сети и системы связи и средства их информационной защиты Экзамен,Не указан,Частиков А.В.,3-206
