Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_КТУб-4201-02-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Семиотика культуры Зачет,Не указан,Осипова Н.О.,14-328
сессия_КТУб-4201-02-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Теория культуры Зачет,Не указан,Голенок М.П.,14-218
сессия_КТУб-4201-02-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Медиаконтент в социальных сетях Зачет,Не указан,Москвин А.С.,14-218
сессия_КТУб-4201-02-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Электронные средства массовой информации Зачет,Не указан,Гмызина Э.В.,14-218
сессия_КТУб-4201-02-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Охрана культурного наследия Консультация,Не указан,Дождевых С.М.,14-332
сессия_КТУб-4201-02-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Охрана культурного наследия Экзамен,Не указан,Дождевых С.М.,14-312
сессия_КТУб-4201-02-00.pdf,21.01.26,среда,10:00-11:30,Общая группа,Реклама и связи с общественностью в социокультурной сфере Консультация,Не указан,Гмызина Э.В.,14-219
сессия_КТУб-4201-02-00.pdf,22.01.26,четверг,15:45-17:15,Общая группа,Реклама и связи с общественностью в социокультурной сфере Экзамен,Не указан,Гмызина Э.В.,14-233
сессия_КТУб-4201-02-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Религиоведение Консультация,Не указан,Быкова Е.В.,14-214
сессия_КТУб-4201-02-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Религиоведение Экзамен,Не указан,Быкова Е.В.,14-211
