Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_СДОб-3701-51-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Логопедический практикум (общее недоразвитие речи) Зачет,Не указан,Хмелькова Е.В.,15-426
сессия_СДОб-3701-51-00.pdf,09.01.26,пятница,15:45-17:15,Общая группа,Логопедический практикум (общее недоразвитие речи) Зачет,Не указан,Хмелькова Е.В.,15-426
сессия_СДОб-3701-51-00.pdf,09.01.26,пятница,08:20-09:50,Общая группа,к и н6 ь2 л 1. е д е 2. 0 н1 о п Психопатология Зачет,Не указан,Кадочникова Н.И.,15-332
сессия_СДОб-3701-51-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Психопатология Зачет,Не указан,Кадочникова Н.И.,15-332
сессия_СДОб-3701-51-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Шемякин С.М.,15-111
сессия_СДОб-3701-51-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Шемякин С.М.,15-111
сессия_СДОб-3701-51-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Шемякин С.М.,15-111
сессия_СДОб-3701-51-00.pdf,15.01.26,четверг,08:20-09:50,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями Консультация,Не указан,Кадочникова Н.И.,15-117
сессия_СДОб-3701-51-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями Экзамен,Не указан,Кадочникова Н.И.,15-117
сессия_СДОб-3701-51-00.pdf,16.01.26,пятница,11:45-13:15,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями Экзамен,Не указан,Кадочникова Н.И.,15-117
сессия_СДОб-3701-51-00.pdf,19.01.26,понедельник,14:00-15:30,Общая группа,Методические основы дошкольного обучения детей с речевыми нарушениями Консультация,Не указан,Лутфуллина А.В.,15-339
сессия_СДОб-3701-51-00.pdf,20.01.26,вторник,14:00-15:30,Общая группа,Методические основы дошкольного обучения детей с речевыми нарушениями Экзамен,Не указан,Лутфуллина А.В.,15-339
сессия_СДОб-3701-51-00.pdf,20.01.26,вторник,15:45-17:15,Общая группа,Методические основы дошкольного обучения детей с речевыми нарушениями Экзамен,Не указан,Лутфуллина А.В.,15-339
сессия_СДОб-3701-51-00.pdf,23.01.26,пятница,08:20-09:50,Общая группа,Логопедия Консультация,Не указан,Башмакова С.Б.,15-337
сессия_СДОб-3701-51-00.pdf,24.01.26,суббота,08:20-09:50,Общая группа,Логопедия Экзамен,Не указан,Башмакова С.Б.,15-337
сессия_СДОб-3701-51-00.pdf,24.01.26,суббота,10:00-11:30,Общая группа,Логопедия Экзамен,Не указан,Башмакова С.Б.,15-337
