Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ЭиЭм-1802-02-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Основы управления проектами Зачет,Не указан,Фоминых А.А.,8-604
сессия_ЭиЭм-1802-02-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Основы управления проектами Зачет,Не указан,Фоминых А.А.,8-604
сессия_ЭиЭм-1802-02-00.pdf,10.01.26,суббота,14:00-15:30,Общая группа,Методы технического творчества Зачет,Не указан,Шестаков А.В.,8-501
сессия_ЭиЭм-1802-02-00.pdf,12.01.26,понедельник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности Зачет,Не указан,Злобина Е.А.,8-207
сессия_ЭиЭм-1802-02-00.pdf,12.01.26,понедельник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности Зачет,Не указан,Злобина Е.А.,8-207
сессия_ЭиЭм-1802-02-00.pdf,13.01.26,вторник,17:20-18:50,Общая группа,Теория и практика инженерного исследования Зачет,Не указан,Суворов Д.М.,8-604
сессия_ЭиЭм-1802-02-00.pdf,13.01.26,вторник,18:55-20:25,Общая группа,Теория и практика инженерного исследования Зачет,Не указан,Суворов Д.М.,8-604
сессия_ЭиЭм-1802-02-00.pdf,15.01.26,четверг,17:20-18:50,Общая группа,Специальный курс электрических аппаратов Зачет,Не указан,Тимошенко В.Н.,8-607
сессия_ЭиЭм-1802-02-00.pdf,19.01.26,понедельник,17:20-18:50,Общая группа,Теория решения изобретательских задач в энергетике Консультация,Не указан,Татаринова Н.В.,8-501
сессия_ЭиЭм-1802-02-00.pdf,20.01.26,вторник,17:20-18:50,Общая группа,Теория решения изобретательских задач в энергетике Экзамен,Не указан,Татаринова Н.В.,8-310
сессия_ЭиЭм-1802-02-00.pdf,20.01.26,вторник,18:55-20:25,Общая группа,Теория решения изобретательских задач в энергетике Экзамен,Не указан,Татаринова Н.В.,8-310
сессия_ЭиЭм-1802-02-00.pdf,22.01.26,четверг,17:20-18:50,Общая группа,Менеджмент и маркетинг в электротехнической промышленности Консультация,Не указан,Сысолятин А.В.,14-114
сессия_ЭиЭм-1802-02-00.pdf,23.01.26,пятница,17:20-18:50,Общая группа,Менеджмент и маркетинг в электротехнической промышленности Экзамен,Не указан,Сысолятин А.В.,14-114
