Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_МСм-1801-02-00_1.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Организация и планирование эксперимента Зачет,Не указан,Плотников С.А.,10-203
сессия_МСм-1801-02-00_1.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Управление проектами Зачет,Не указан,Сергеев Д.Г.,10-203
сессия_МСм-1801-02-00_1.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Современные технологии поверхностного упрочнения Зачет,Не указан,Маринин Е.А.,10-205
сессия_МСм-1801-02-00_1.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Современные технологии поверхностного упрочнения Зачет,Не указан,Маринин Е.А.,10-205
сессия_МСм-1801-02-00_1.pdf,10.06.26,среда,17:20-18:50,Общая группа,Современные цифровые системы автоматизированного проектирования Зачет,Не указан,Флаксман А.Л.,10-215
сессия_МСм-1801-02-00_1.pdf,10.06.26,среда,18:55-20:25,Общая группа,Современные цифровые системы автоматизированного проектирования Зачет,Не указан,Флаксман А.Л.,10-215
сессия_МСм-1801-02-00_1.pdf,11.06.26,четверг,17:20-18:50,Общая группа,Менеджмент предприятия Зачет,Не указан,Грабар А.А.,2-404
сессия_МСм-1801-02-00_1.pdf,11.06.26,четверг,17:20-18:50,Общая группа,Защита интеллектуальной собственности Консультация,Не указан,Плотников С.А.,10-203
сессия_МСм-1801-02-00_1.pdf,16.06.26,вторник,17:20-18:50,Общая группа,Защита интеллектуальной собственности Экзамен,Не указан,Плотников С.А.,10-205
сессия_МСм-1801-02-00_1.pdf,16.06.26,вторник,18:55-20:25,Общая группа,Защита интеллектуальной собственности Экзамен,Не указан,Плотников С.А.,10-205
сессия_МСм-1801-02-00_1.pdf,19.06.26,пятница,17:20-18:50,Общая группа,Менеджмент качества и конкурентоспособности Консультация,Не указан,Виноградов Д.О.,10-200
сессия_МСм-1801-02-00_1.pdf,20.06.26,суббота,11:45-13:15,Общая группа,Менеджмент качества и конкурентоспособности Экзамен,Не указан,Виноградов Д.О.,10-200
сессия_МСм-1801-02-00_1.pdf,24.06.26,среда,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности Консультация,Не указан,Шевченко А.И.,1-227а
сессия_МСм-1801-02-00_1.pdf,25.06.26,четверг,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности Экзамен,Не указан,Шевченко А.И.,1-227а
сессия_МСм-1801-02-00_1.pdf,25.06.26,четверг,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности Экзамен,Не указан,Шевченко А.И.,1-227а
