Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25330_2_08062026_21062026.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Мониторинг природных сред и объектов,Лекция,Мусихина Т.А.,1-237
25330_2_08062026_21062026.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Мониторинг природных сред и объектов,Лекция,Мусихина Т.А.,1-237
25330_2_08062026_21062026.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_08062026_21062026.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_08062026_21062026.pdf,10.06.26,среда,17:20-18:50,Общая группа,Методология научных исследований,Лекция,Земцова Е.А.,1-237
25330_2_08062026_21062026.pdf,10.06.26,среда,18:55-20:25,Общая группа,Методология научных исследований,Лекция,Земцова Е.А.,1-237
25330_2_08062026_21062026.pdf,11.06.26,четверг,17:20-18:50,Общая группа,Современные технологии переработки отходов производства и потребления,Лекция,Фукс С.Л.,1-521
25330_2_08062026_21062026.pdf,11.06.26,четверг,18:55-20:25,Общая группа,Современные технологии переработки отходов производства и потребления,Лекция,Фукс С.Л.,1-521
25330_2_08062026_21062026.pdf,15.06.26,понедельник,17:20-18:50,Общая группа,Методология научных исследований,Лабораторная работа,Земцова Е.А.,1-237
25330_2_08062026_21062026.pdf,15.06.26,понедельник,18:55-20:25,Общая группа,Методология научных исследований,Лабораторная работа,Земцова Е.А.,1-237
25330_2_08062026_21062026.pdf,16.06.26,вторник,17:20-18:50,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_08062026_21062026.pdf,16.06.26,вторник,18:55-20:25,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_08062026_21062026.pdf,19.06.26,пятница,17:20-18:50,Общая группа,Физика и химия композиционных материалов на основе отходов производства и потребления,Лабораторная работа,Михалицына Ю.С.,1-237
25330_2_08062026_21062026.pdf,19.06.26,пятница,18:55-20:25,Общая группа,Физика и химия композиционных материалов на основе отходов производства и потребления,Лабораторная работа,Михалицына Ю.С.,1-237
