Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Теория языка: традиционное и новое Зачет,Не указан,Калинина Л.В.,14-314
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Русский язык. Языки народов России Консультация,Не указан,Калинина Л.В.,14-312
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Русский язык. Языки народов России Кандидатский экзамен,Не указан,Злобин А.А.,14-312
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Русский язык. Языки народов России Кандидатский экзамен,Не указан,Калинин А.А.,14-312
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Русский язык. Языки народов России Кандидатский экзамен,Не указан,Калинина Л.В.,14-312
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Русский язык. Языки народов России Кандидатский экзамен,Не указан,Колесникова О.И.,14-312
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Научный компонент Зачет по НИ,Не указан,Калинина Л.В.,14-328
сессия_РЯа-2201-01-00.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Научный компонент Зачет по НИ,Не указан,Колесникова О.И.,14-328
